row_label_raw,row_label_full,col_0,31/12/2021 > Giá gốc VND,31/12/2021 > Giá trị hợp lý VND,31/12/2021 > Dự phòng (*) VND,01/01/2021 > Giá gốc VND,01/01/2021 > Giá trị hợp lý VND,01/01/2021 > Dự phòng (*) VND,numeric__31/12/2021 > Giá gốc VND,numeric__31/12/2021 > Giá trị hợp lý VND,numeric__31/12/2021 > Dự phòng (*) VND,numeric__01/01/2021 > Giá gốc VND,numeric__01/01/2021 > Giá trị hợp lý VND,numeric__01/01/2021 > Dự phòng (*) VND
I. Chứng khoán kinh doanh,I. Chứng khoán kinh doanh,I. Chứng khoán kinh doanh,I. Chứng khoán kinh doanh,I. Chứng khoán kinh doanh,I. Chứng khoán kinh doanh,I. Chứng khoán kinh doanh,I. Chứng khoán kinh doanh,I. Chứng khoán kinh doanh,,,,,,
Đầu tư vào cổ phiếu,I. Chứng khoán kinh doanh > Đầu tư vào cổ phiếu,Đầu tư vào cổ phiếu,323.556.877.135,,(4.939.112.500),196.068.240.334,,(5.410.754.674),323556877135.0,,-4939112500.0,196068240334.0,,-5410754674.0
Cổ phiếu đã niêm yết trên sản,I. Chứng khoán kinh doanh > Cổ phiếu đã niêm yết trên sản,Cổ phiếu đã niêm yết trên sản,5.715.014,5.715.014,-,10.302.201.028,10.301.398.104,(802.924),5715014.0,5715014.0,,10302201028.0,10301398104.0,-802924.0
Cổ phiếu giao dịch trên sản Upcom,I. Chứng khoán kinh doanh > Cổ phiếu giao dịch trên sản Upcom,Cổ phiếu giao dịch trên sản Upcom,6.125.000.000,1.185.887.500,(4.939.112.500),7.990.127.633,2.580.175.883,(5.409.951.750),6125000000.0,1185887500.0,-4939112500.0,7990127633.0,2580175883.0,-5409951750.0
Cổ phiếu chưa niêm yết,I. Chứng khoán kinh doanh > Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,317.426.162.121,,-,177.775.911.673,,-,317426162121.0,,,177775911673.0,,
Đầu tư vào trải phiếu,I. Chứng khoán kinh doanh > Đầu tư vào trải phiếu,Đầu tư vào trải phiếu,51.206.726.000,51.206.726.000,-,29.756.849.319,29.756.849.319,-,51206726000.0,51206726000.0,,29756849319.0,29756849319.0,
Trải phiếu CTGL2129008 (**),I. Chứng khoán kinh doanh > Trải phiếu CTGL2129008 (**),Trải phiếu CTGL2129008 (**),51.206.726.000,51.206.726.000,-,-,-,-,51206726000.0,51206726000.0,,,,
Trải phiếu chuyển đổi Công ty CP,I. Chứng khoán kinh doanh > Trải phiếu chuyển đổi Công ty CP,Trải phiếu chuyển đổi Công ty CP,-,-,-,29.756.849.319,29.756.849.319,-,,,,29756849319.0,29756849319.0,
Đầu tư Thương mại Hoa Sen Việt Nam,Đầu tư Thương mại Hoa Sen Việt Nam,Đầu tư Thương mại Hoa Sen Việt Nam,,,,,,,,,,,,
,,,374.763.603.135,,(4.939.112.500),225.825.089.653,,(5.410.754.674),374763603135.0,,-4939112500.0,225825089653.0,,-5410754674.0
