row_label_raw,row_label_full,STT,Công ty,Mối quan hệ,31/12/2021VND,01/01/2021VND,numeric__Công ty,numeric__Mối quan hệ,numeric__31/12/2021VND,numeric__01/01/2021VND
1,1,1,Công ty CP Đầu tư Dũng Tâm,Công ty có liên quan với thành viên HDQT,,,,,,
1,1 > 1,1,- Phải thu khách hàng,,48.463.613,979.210,,,48463613.0,979210.0
2,2,2,Công ty CP FIT Cosmetics,Công ty liên kết,,,,,,
2,2 > 2,2,- Phải thu Hợp tác đầu tư,,35.090.000.000,8.475.000.000,,,35090000000.0,8475000000.0
2,2 > 2,2,- Phải thu khách hàng,,4.742.453.635,3.739.997.635,,,4742453635.0,3739997635.0
2,2 > 2,2,- Phải thu lợi nhuận hợp tác đầu tư,,1.535.397.261,1.366.898.628,,,1535397261.0,1366898628.0
2,2 > 2,2,- Phải trả người bán,,656.529.901,16.327.101,,,656529901.0,16327101.0
2,2 > 2,2,- Phải thu khác,,5.270.200.793,5.362.792.400,,,5270200793.0,5362792400.0
3,3,3,Công ty CP nước khoảng Khánh Hòa,Công ty liên kết,,,,,,
3,3 > 3,3,- Phải trả Hợp tác đầu tư,,-,20.000.000.000,,,,20000000000.0
3,3 > 3,3,- Phải trả lợi nhuận Hợp tác đầu tư,,-,488.246.575,,,,488246575.0
3,3 > 3,3,- Phải thu khách hàng,,-,284.608.824,,,,284608824.0
3,3 > 3,3,- Phải trả người bán,,-,30.810.128.863,,,,30810128863.0
3,3 > 3,3,- Phải trả khác,,-,7.717.077.715,,,,7717077715.0
4,4,4,Công ty CP Mũi Đình Ecopark,Công ty liên kết,,,,,,
4,4 > 4,4,- Phải trả Hợp tác đầu tư,,101.997.929.443,110.420.361.272,,,101997929443.0,110420361272.0
4,4 > 4,4,- Phải trả lợi nhuận hợp tác đầu tư,,4.298.022.356,4.639.415.797,,,4298022356.0,4639415797.0
5,5,5,Công ty CP Today Cosmetics,Công ty có liên quan đến phố Tổng Giám đốc thường trực,,,,,,
5,5 > 5,5,- Phải thu Hợp tác đầu tư,,25.410.000.000,12.700.000.000,,,25410000000.0,12700000000.0
5,5 > 5,5,- Phải thu lợi nhuận hợp tác đầu tư,,1.123.225.075,1.150.475.345,,,1123225075.0,1150475345.0
6,6,6,Ông Cao Trọng Hoan,Thành viên HDQT,,,,,,
6,6 > 6,6,- Phải thu Hợp tác đầu tư,,190.026.234.800,244.045.234.800,,,190026234800.0,244045234800.0
6,6 > 6,6,- Phải thu lợi nhuận hợp tác đầu tư,,20.939.446.579,10.526.826.019,,,20939446579.0,10526826019.0
7,7,7,Công ty CP Đầu tư Xây dựng và KD Nhà Sài Gòn,Công ty có liên quan đến thành viên HDQT,,,,,,
7,7 > 7,7,- Phải thu về cho vay dài hạn,,29.848.000.000,26.000.000.000,,,29848000000.0,26000000000.0
7,7 > 7,7,- Phải thu về lãi cho vay,,1.573.357.589,1.370.520.548,,,1573357589.0,1370520548.0
8,8,8,Ông Nguyễn Ngọc Bích,Tổng Giám đốc,,,,,,
8,8 > 8,8,- Phải thu Hợp tác đầu tư,,135.925.459.944,-,,,135925459944.0,
