row_label_raw,row_label_full,col_0,01/01/2021 > Giá trịVND,01/01/2021 > Số có khả năng trả nợVND,Trong năm > TăngVND,Trong năm > GiảmVND,Điều chỉnh do hợp nhất Công ty con > Giá trịVND,Điều chỉnh do hợp nhất Công ty con > Giá trịVND_1,31/12/2021 > Số có khả năng trả nợVND,31/12/2021,numeric__01/01/2021 > Giá trịVND,numeric__01/01/2021 > Số có khả năng trả nợVND,numeric__Trong năm > TăngVND,numeric__Trong năm > GiảmVND,numeric__Điều chỉnh do hợp nhất Công ty con > Giá trịVND,numeric__Điều chỉnh do hợp nhất Công ty con > Giá trịVND_1,numeric__31/12/2021 > Số có khả năng trả nợVND,numeric__31/12/2021
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,383.865.334.322,383.865.334.322,5.408.658.165.837,(5.131.694.132.062),39.442.566.165,700.271.934.262,700.271.934.262,,383865334322.0,383865334322.0,5408658165837.0,-5131694132062.0,39442566165.0,700271934262.0,700271934262.0,
- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (1),- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (1),- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (1),105.033.074.725,105.033.074.725,1.621.164.804.152,(1.512.437.313.263),4.535.323.054,218.295.888.668,218.295.888.668,,105033074725.0,105033074725.0,1621164804152.0,-1512437313263.0,4535323054.0,218295888668.0,218295888668.0,
- Ngân hàng TNHH MTV Public Việt Nam (11),- Ngân hàng TNHH MTV Public Việt Nam (11),- Ngân hàng TNHH MTV Public Việt Nam (11),10.000.000.000,10.000.000.000,30.087.921.900,(30.087.921.900),-,10.000.000.000,10.000.000.000,,10000000000.0,10000000000.0,30087921900.0,-30087921900.0,,10000000000.0,10000000000.0,
- Ngân hàng TMCP Ngoại thương Việt Nam (2),- Ngân hàng TMCP Ngoại thương Việt Nam (2),- Ngân hàng TMCP Ngoại thương Việt Nam (2),114.262.408.059,114.262.408.059,328.445.614.763,(335.163.714.258),18.966.929.774,126.511.238.338,126.511.238.338,,114262408059.0,114262408059.0,328445614763.0,-335163714258.0,18966929774.0,126511238338.0,126511238338.0,
- Ngân hàng TMCP Quản đội (3),- Ngân hàng TMCP Quản đội (3),- Ngân hàng TMCP Quản đội (3),55.553.416.210,55.553.416.210,120.149.944.778,(125.097.200.564),-,50.606.160.424,50.606.160.424,,55553416210.0,55553416210.0,120149944778.0,-125097200564.0,,50606160424.0,50606160424.0,
- Ngân hàng TMCP Việt Nam Thịnh Vượng (4),- Ngân hàng TMCP Việt Nam Thịnh Vượng (4),- Ngân hàng TMCP Việt Nam Thịnh Vượng (4),84.803.597.518,84.803.597.518,2.978.987.512.479,(2.934.828.177.385),-,128.962.932.612,128.962.932.612,,84803597518.0,84803597518.0,2978987512479.0,-2934828177385.0,,128962932612.0,128962932612.0,
- Ngân hàng TMCP Công thương Việt Nam (5),- Ngân hàng TMCP Công thương Việt Nam (5),- Ngân hàng TMCP Công thương Việt Nam (5),14.212.837.810,14.212.837.810,102.735.081.114,(67.050.490.049),-,49.897.428.875,49.897.428.875,,14212837810.0,14212837810.0,102735081114.0,-67050490049.0,,49897428875.0,49897428875.0,
- Ngân hàng Nông Nghiệp Và Phát triển Nông thôn VN (6),- Ngân hàng Nông Nghiệp Và Phát triển Nông thôn VN (6),- Ngân hàng Nông Nghiệp Và Phát triển Nông thôn VN (6),-,-,28.898.109.258,(28.840.137.250),15.940.313.337,15.998.285.345,15.998.285.345,,,,28898109258.0,-28840137250.0,15940313337.0,15998285345.0,15998285345.0,
- Đối tượng khác (7),- Đối tượng khác (7),- Đối tượng khác (7),-,-,198.189.177.393,(98.189.177.393),-,100.000.000.000,100.000.000.000,,,,198189177393.0,-98189177393.0,,100000000000.0,100000000000.0,
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,31.497.674.950,31.497.674.950,487.207.502.344,(483.694.122.344),-,35.011.054.950,35.011.054.950,,31497674950.0,31497674950.0,487207502344.0,-483694122344.0,,35011054950.0,35011054950.0,
