row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND","Phương tiện,vận tải,truyền dẫnVND","Thiết bị,dụng cụquản lýVND",TSCD HHkhácVND,CộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND","numeric__Phương tiện,vận tải,truyền dẫnVND","numeric__Thiết bị,dụng cụquản lýVND",numeric__TSCD HHkhácVND,numeric__CộngVND
NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,NGUYÊN GIẢ,,,,,,
01/01/2021,NGUYÊN GIẢ > 01/01/2021,01/01/2021,211.292.911.667,618.529.585.235,39.077.816.762,14.827.736.012,97.409.646,883.825.459.322,211292911667.0,618529585235.0,39077816762.0,14827736012.0,97409646.0,883825459322.0
- Mua mới trong năm,NGUYÊN GIẢ > - Mua mới trong năm,- Mua mới trong năm,633.201.819,4.216.249.857,12.490.527.273,1.107.183.564,-,18.447.162.513,633201819.0,4216249857.0,12490527273.0,1107183564.0,,18447162513.0
"- Thanh lý, nhượng bán","NGUYÊN GIẢ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(84.724.800),-,(1.842.800.000),-,(1.927.524.800),,-84724800.0,,-1842800000.0,,-1927524800.0
- Đầu tư XDCB hoàn thành,NGUYÊN GIẢ > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,63.253.155.719,148.908.401.079,-,-,-,212.161.556.798,63253155719.0,148908401079.0,,,,212161556798.0
- Tăng do hợp nhất kinh doanh,NGUYÊN GIẢ > - Tăng do hợp nhất kinh doanh,- Tăng do hợp nhất kinh doanh,31.906.033.304,91.377.925.647,7.547.531.001,1.310.323.579,-,132.141.813.531,31906033304.0,91377925647.0,7547531001.0,1310323579.0,,132141813531.0
31/12/2021,NGUYÊN GIẢ > 31/12/2021,31/12/2021,307.085.302.509,862.947.437.018,59.115.875.036,15.402.443.155,97.409.646,1.244.648.467.364,307085302509.0,862947437018.0,59115875036.0,15402443155.0,97409646.0,1244648467364.0
HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,,,,,,
01/01/2021,HAO MÔN LỦY KẾ > 01/01/2021,01/01/2021,(96.091.408.976),(377.775.018.770),(26.292.651.889),(9.701.874.808),(97.409.646),(509.958.364.089),-96091408976.0,-377775018770.0,-26292651889.0,-9701874808.0,-97409646.0,-509958364089.0
- Khấu hao trong năm,HAO MÔN LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,(14.743.165.378),(36.582.983.702),(3.612.865.742),(1.982.916.535),-,(56.921.931.357),-14743165378.0,-36582983702.0,-3612865742.0,-1982916535.0,,-56921931357.0
"- Thanh lý, nhượng bán","HAO MÔN LỦY KẾ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,84.724.800,-,1.842.800.000,-,1.927.524.800,,84724800.0,,1842800000.0,,1927524800.0
- Tăng do hợp nhất kinh doanh,HAO MÔN LỦY KẾ > - Tăng do hợp nhất kinh doanh,- Tăng do hợp nhất kinh doanh,(26.482.071.438),(75.339.801.888),(4.802.240.553),(1.317.606.606),-,(107.941.720.485),-26482071438.0,-75339801888.0,-4802240553.0,-1317606606.0,,-107941720485.0
31/12/2021,HAO MÔN LỦY KẾ > 31/12/2021,31/12/2021,(137.316.645.792),(489.613.079.560),(34.707.758.184),(11.159.597.949),(97.409.646),(672.894.491.131),-137316645792.0,-489613079560.0,-34707758184.0,-11159597949.0,-97409646.0,-672894491131.0
GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,GIẢ TRỊ CÒN LẠI,,,,,,
01/01/2021,GIẢ TRỊ CÒN LẠI > 01/01/2021,01/01/2021,115.201.502.691,240.754.566.465,12.785.164.873,5.125.861.204,-,373.867.095.233,115201502691.0,240754566465.0,12785164873.0,5125861204.0,,373867095233.0
31/12/2021,GIẢ TRỊ CÒN LẠI > 31/12/2021,31/12/2021,169.768.656.717,373.334.357.458,24.408.116.852,4.242.845.206,-,571.753.976.233,169768656717.0,373334357458.0,24408116852.0,4242845206.0,,571753976233.0
