row_label_raw,row_label_full,STT,Bên liên quan,Mối quan hệ,numeric__Bên liên quan,numeric__Mối quan hệ
1,1,1,Công ty CP Đầu tư Dũng Tâm,Công ty có liên quan với thành viênHội đồng Quản trị,,
2,2,2,Công ty CP FIT Cosmetics,Công ty liên kết,,
3,3,3,Công ty CP Mũi Dinh Ecopark,Công ty liên kết,,
4,4,4,Công ty CP Đầu tư KD,Công ty có liên quan với thành viênHDQT,,
5,5,5,Công ty CP Vega City,Công ty có liên quan với thành viênHDQT,,
6,6,6,Công ty CP Today Cosmetics,Công ty có liên quan với Phó TổngGiám đốc thường trực,,
7,7,7,Công ty CP Đầu tư Bắc Thủ đô,Công ty có liên quan với thành viênHDQT,,
8,8,8,Công ty CP FCE Việt Nam,Công ty có liên quan với thành viênHDQT,,
9,9,9,Công ty CP Xuất nhập khẩu TH Nam Sài Gòn,Công ty có liên quan với thành viênHDQT,,
10,10,10,Công ty CP Đầu tư Phát triển Công nghệCao Việt Mỹ,Công ty có liên quan với thành viênHDQT,,
11,11,11,Công ty CP Đầu tư xây dựng và KD NhàSài Gòn,Công ty có liên quan với thành viênHDQT,,
12,12,12,Công ty CP Cảnh Viên,Công ty có liên quan với thành viênHDQT,,
13,13,13,Thành viên Hội đồng Quản trị và Ban TổngGiám đốc,Có ảnh hưởng đáng kể,,
