row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc VND",Quyền sử dụng đất VND,Tổng cộng VND,"numeric__Nhà cửa, vật kiến trúc VND",numeric__Quyền sử dụng đất VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
01/01/2021,NGUYÊN GIÁ > 01/01/2021,01/01/2021,50.892.328.692,71.652.812.923,122.545.141.615,50892328692.0,71652812923.0,122545141615.0
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,,,
31/12/2021,"- Thanh lý, nhượng bán > 31/12/2021",31/12/2021,50.892.328.692,71.652.812.923,122.545.141.615,50892328692.0,71652812923.0,122545141615.0
HAO MÔN LỦY KÊ,HAO MÔN LỦY KÊ,HAO MÔN LỦY KÊ,HAO MÔN LỦY KÊ,HAO MÔN LỦY KÊ,HAO MÔN LỦY KÊ,,,
01/01/2021,HAO MÔN LỦY KÊ > 01/01/2021,01/01/2021,(11.089.845.157),-,(11.089.845.157),-11089845157.0,,-11089845157.0
- Khấu hao trong kỳ,HAO MÔN LỦY KÊ > - Khấu hao trong kỳ,- Khấu hao trong kỳ,(1.073.473.020),-,(1.073.473.020),-1073473020.0,,-1073473020.0
31/12/2021,HAO MÔN LỦY KÊ > 31/12/2021,31/12/2021,(12.163.318.177),-,(12.163.318.177),-12163318177.0,,-12163318177.0
GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,,,
01/01/2021,GIÁ TRỊ CÔN LẠI > 01/01/2021,01/01/2021,39.802.483.535,71.652.812.923,111.455.296.458,39802483535.0,71652812923.0,111455296458.0
31/12/2021,GIÁ TRỊ CÔN LẠI > 31/12/2021,31/12/2021,38.729.010.515,71.652.812.923,110.381.823.438,38729010515.0,71652812923.0,110381823438.0
