row_label_raw,row_label_full,TÀI SẢN,Mã số minh,Thuyết,31/12/2021 VND,01/01/2021 VND,numeric__Mã số minh,numeric__Thuyết,numeric__31/12/2021 VND,numeric__01/01/2021 VND
TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,100,,3.695.008.674.324,3.329.699.079.073,100.0,,3695008674324.0,3329699079073.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,4,297.433.758.581,59.677.188.408,110.0,4.0,297433758581.0,59677188408.0
Tiền,Tiền,Tiền,111,,136.087.813.376,30.677.188.408,111.0,,136087813376.0,30677188408.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,161.345.945.205,29.000.000.000,112.0,,161345945205.0,29000000000.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,2.346.857.554.157,2.506.175.341.063,120.0,,2346857554157.0,2506175341063.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,121,6,374.763.603.135,225.825.089.653,121.0,6.0,374763603135.0,225825089653.0
Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,122,6,(4.939.112.500),(5.410.754.674),122.0,6.0,-4939112500.0,-5410754674.0
Đầu tư nằm giữ đến ngày đào hạn,Đầu tư nằm giữ đến ngày đào hạn,Đầu tư nằm giữ đến ngày đào hạn,123,6,1.977.033.063.522,2.285.761.006.084,123.0,6.0,1977033063522.0,2285761006084.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,635.654.617.950,464.430.774.557,130.0,,635654617950.0,464430774557.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,7,553.965.518.961,300.672.069.402,131.0,7.0,553965518961.0,300672069402.0
Trà trước cho người bán ngắn hạn,Trà trước cho người bán ngắn hạn,Trà trước cho người bán ngắn hạn,132,5,71.726.292.109,87.130.582.775,132.0,5.0,71726292109.0,87130582775.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,8,100.848.698.311,164.197.618.716,136.0,8.0,100848698311.0,164197618716.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,137,10,(90.885.891.431),(87.569.496.336),137.0,10.0,-90885891431.0,-87569496336.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,13,370.081.201.886,273.117.969.204,140.0,13.0,370081201886.0,273117969204.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,374.698.543.779,282.217.945.862,141.0,,374698543779.0,282217945862.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,149,,(4.617.341.893),(9.099.976.658),149.0,,-4617341893.0,-9099976658.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,44.981.541.750,26.297.805.841,150.0,,44981541750.0,26297805841.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,16,4.160.534.794,6.603.980.964,151.0,16.0,4160534794.0,6603980964.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,152,,38.478.469.382,17.221.414.039,152.0,,38478469382.0,17221414039.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,19,2.342.537.574,2.472.410.838,153.0,19.0,2342537574.0,2472410838.0
