row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy vi tínhVND,TSCĐvõ hình khácVND,CộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy vi tínhVND,numeric__TSCĐvõ hình khácVND,numeric__CộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
01/01/2021,NGUYÊN GIÁ > 01/01/2021,01/01/2021,101.574.712.281,1.953.170.450,988.680.000,104.516.562.731,101574712281.0,1953170450.0,988680000.0,104516562731.0
- Tăng khác,NGUYÊN GIÁ > - Tăng khác,- Tăng khác,-,1.581.643.083,-,1.581.643.083,,1581643083.0,,1581643083.0
31/12/2021,NGUYÊN GIÁ > 31/12/2021,31/12/2021,101.574.712.281,3.534.813.533,988.680.000,106.098.205.814,101574712281.0,3534813533.0,988680000.0,106098205814.0
GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,,,,
01/01/2021,GIÁ TRỊ HAO MÔN > 01/01/2021,01/01/2021,(7.275.416.296),(948.140.618),(227.946.218),(8.451.503.132),-7275416296.0,-948140618.0,-227946218.0,-8451503132.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÔN > - Khấu hao trong năm,- Khấu hao trong năm,(1.651.416.866),(297.696.639),(49.434.000),(1.998.547.505),-1651416866.0,-297696639.0,-49434000.0,-1998547505.0
- Tăng do hợp nhất,GIÁ TRỊ HAO MÔN > - Tăng do hợp nhất,- Tăng do hợp nhất,-,(659.017.950),-,(659.017.950),,-659017950.0,,-659017950.0
31/12/2021,GIÁ TRỊ HAO MÔN > 31/12/2021,31/12/2021,(8.926.833.162),(1.904.855.207),(277.380.218),(11.109.068.587),-8926833162.0,-1904855207.0,-277380218.0,-11109068587.0
GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,,,,
01/01/2021,GIÁ TRỊ CÔN LẠI > 01/01/2021,01/01/2021,94.299.295.985,1.005.029.832,760.733.782,96.065.059.599,94299295985.0,1005029832.0,760733782.0,96065059599.0
31/12/2021,GIÁ TRỊ CÔN LẠI > 31/12/2021,31/12/2021,92.647.879.119,1.629.958.326,711.299.782,94.989.137.227,92647879119.0,1629958326.0,711299782.0,94989137227.0
