row_label_raw,row_label_full,Tại ngày đầu năm,Miền Bắc01/01/2021VND,Miền Nam01/01/2021VND,Loại trừ01/01/2021VND,Tổng cộng01/01/2021VND,numeric__Miền Bắc01/01/2021VND,numeric__Miền Nam01/01/2021VND,numeric__Loại trừ01/01/2021VND,numeric__Tổng cộng01/01/2021VND
Tải sản,Tải sản,Tải sản,,,,,,,,
Tải sản bộ phận,Tải sản > Tải sản bộ phận,Tải sản bộ phận,4.066.957.508.128,3.792.318.061.744,(2.575.298.110.010),5.283.977.459.862,4066957508128.0,3792318061744.0,-2575298110010.0,5283977459862.0
Tổng tài sản hợp nhất,Tải sản > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,,5.283.977.459.862,,,,5283977459862.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Nợ phải trả bộ phận,Nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,732.025.788.033,986.234.249.117,(480.863.023.599),1.237.397.013.551,732025788033.0,986234249117.0,-480863023599.0,1237397013551.0
Tổng nợ phải trả hợp nhất,Nợ phải trả > Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,,1.237.397.013.551,,,,1237397013551.0
