row_label_raw,row_label_full,Chỉ tiêu,Mã số,Năm 2021VND,Năm 2020VND,numeric__Mã số,numeric__Năm 2021VND,numeric__Năm 2020VND
Lưu chuyển tiền tử hoạt động kinh doanh,Lưu chuyển tiền tử hoạt động kinh doanh,Lưu chuyển tiền tử hoạt động kinh doanh,Lưu chuyển tiền tử hoạt động kinh doanh,Lưu chuyển tiền tử hoạt động kinh doanh,Lưu chuyển tiền tử hoạt động kinh doanh,,,
Lợi nhuận trước thuế,Lưu chuyển tiền tử hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,278.442.368.053,107.974.357.963,1.0,278442368053.0,107974357963.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,
"Khẩu hao TSCĐ và BDSDT, phân bổ lợi thế thương mại","Điều chỉnh cho các khoản > Khẩu hao TSCĐ và BDSDT, phân bổ lợi thế thương mại","Khẩu hao TSCĐ và BDSDT, phân bổ lợi thế thương mại",02,109.483.282.405,68.299.736.349,2.0,109483282405.0,68299736349.0
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,5.327.960.320,4.457.973.327,3.0,5327960320.0,4457973327.0
Lỗ các khoản chênh lệch tỷ giả hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ (Lãi) hoạt động đầu tư,Điều chỉnh cho các khoản > Lỗ các khoản chênh lệch tỷ giả hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ (Lãi) hoạt động đầu tư,Lỗ các khoản chênh lệch tỷ giả hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ (Lãi) hoạt động đầu tư,04,(295.726.356),(476.638.570),4.0,-295726356.0,-476638570.0
Lỗ các khoản chênh lệch tỷ giả hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ (Lãi) hoạt động đầu tư,Điều chỉnh cho các khoản > Lỗ các khoản chênh lệch tỷ giả hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ (Lãi) hoạt động đầu tư,Lỗ các khoản chênh lệch tỷ giả hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ (Lãi) hoạt động đầu tư,05,(254.978.609.329),(111.303.058.447),5.0,-254978609329.0,-111303058447.0
Chi phí lãi vay,Điều chỉnh cho các khoản > Chi phí lãi vay,Chi phí lãi vay,06,43.680.412.811,40.821.139.149,6.0,43680412811.0,40821139149.0
Các điều chỉnh khác,Điều chỉnh cho các khoản > Các điều chỉnh khác,Các điều chỉnh khác,07,,(1.045.742),7.0,,-1045742.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Điều chỉnh cho các khoản > Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,181.659.687.904,109.772.464.029,8.0,181659687904.0,109772464029.0
