row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm 2021 > VND,Năm 2020 > VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2021 > VND,numeric__Năm 2020 > VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,26,1.236.894.840.351,1.209.550.300.382,1.0,26.0,1236894840351.0,1209550300382.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,26,16.333.953.136,21.123.316.963,2.0,26.0,16333953136.0,21123316963.0
Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,10,26,1.220.560.887.215,1.188.426.983.419,10.0,26.0,1220560887215.0,1188426983419.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,27,914.096.834.939,922.170.707.896,11.0,27.0,914096834939.0,922170707896.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,306.464.052.276,266.256.275.523,20.0,,306464052276.0,266256275523.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,28,429.906.933.445,134.225.237.094,21.0,28.0,429906933445.0,134225237094.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,29,165.562.667.287,58.782.496.667,22.0,29.0,165562667287.0,58782496667.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,43.680.412.811,40.821.149.149,23.0,,43680412811.0,40821149149.0
"Lãi đầu tư Công ty liên doanh, liên kết","Lãi đầu tư Công ty liên doanh, liên kết","Lãi đầu tư Công ty liên doanh, liên kết",24,,(9.916.453.762),(5.139.204.086),24.0,,-9916453762.0,-5139204086.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,30,139.368.317.397,129.464.413.851,25.0,30.0,139368317397.0,129464413851.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,30,151.248.465.406,105.560.627.644,26.0,30.0,151248465406.0,105560627644.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,,270.275.081.869,101.534.770.369,30.0,,270275081869.0,101534770369.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,32,8.930.778.349,8.571.300.169,31.0,32.0,8930778349.0,8571300169.0
Chi phí khác,Chi phí khác,Chi phí khác,32,33,763.492.165,2.131.712.575,32.0,33.0,763492165.0,2131712575.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,40,,8.167.286.184,6.439.587.594,40.0,,8167286184.0,6439587594.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,,278.442.368.053,107.974.357.963,50.0,,278442368053.0,107974357963.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,34,53.771.360.830,23.624.097.549,51.0,34.0,53771360830.0,23624097549.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,35,(6.800.183.452),998.830.573,52.0,35.0,-6800183452.0,998830573.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,231.471.190.675,83.351.429.841,60.0,,231471190675.0,83351429841.0
Lợi nhuận sau thuế của công ty mẹ,Lợi nhuận sau thuế của công ty mẹ,Lợi nhuận sau thuế của công ty mẹ,61,,157.968.627.218,56.452.563.446,61.0,,157968627218.0,56452563446.0
Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,73.502.563.457,26.898.866.395,62.0,,73502563457.0,26898866395.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,36,620,222,70.0,36.0,620.0,222.0
