row_label_raw,row_label_full,Ông Nguyễn Văn Sang,Chú tịch,numeric__Chú tịch
Bà Nguyễn Thị Minh Nguyệt,Bà Nguyễn Thị Minh Nguyệt,Bà Nguyễn Thị Minh Nguyệt,Phó Chủ tịch,
Ông Kiều Hữu Dũng,Ông Kiều Hữu Dũng,Ông Kiều Hữu Dũng,Thành viên,
Ông Cao Trọng Hoan,Ông Cao Trọng Hoan,Ông Cao Trọng Hoan,Thành viên,
Ông Phan Minh Sáng,Ông Phan Minh Sáng,Ông Phan Minh Sáng,Thành viên,
Ông Đỗ Văn Khả,Ông Đỗ Văn Khả,Ông Đỗ Văn Khả,Thành viên độc lập,
Ông Bùi Tuân,Ông Bùi Tuân,Ông Bùi Tuân,Thành viên độc lập,
