row_label_raw,row_label_full,STT,Tên Công ty,Trụ sở chính,Tỷ lệ phần sở hữu,Tỷ lệ quyền biểu quyết nằm giữ,Hoạt động chính,numeric__Tên Công ty,numeric__Trụ sở chính,numeric__Tỷ lệ phần sở hữu,numeric__Tỷ lệ quyền biểu quyết nằm giữ,numeric__Hoạt động chính
,,,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,,,,,
1,1,1,Công ty CP Vật tư Kỹ thuậtNông nghiệp Cần Thơ,Cần Thơ,"41,07%","41,07%",Kinh doanh các sản phẩm từ nông nghiệp,,,0.4107,0.4107,
2,2,2,Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,Hà Nội,"100,00%","100,00%",Xuất nhập khẩu các một hàng nông sản,,,1.0,1.0,
3,3,3,Công ty CP Dược phẩm Cửu Long,Vĩnh Long,"72,07%","72,07%","Kinh doanh dược phẩm, thiết bị y tế",,,0.7206999999999999,0.7206999999999999,
4,4,4,Công ty CP Đầu tư Bắt động sản F.I.T,Hà Nội,"99,69%","99,69%",Kinh doanh bắt động sản,,,0.9969,0.9969,
