row_label_raw,row_label_full,Ông Nguyễn Quang Huy > Ông Ninh Việt Tiến,Trường ban,Bổ nhiệm ngày 22/04/2021 > Miễn nhiệm ngày 22/04/2021,numeric__Trường ban,numeric__Bổ nhiệm ngày 22/04/2021 > Miễn nhiệm ngày 22/04/2021
Bà Nguyễn Thị Thanh Thúy,Bà Nguyễn Thị Thanh Thúy,Bà Nguyễn Thị Thanh Thúy,Thành viên,,,
Bà Nguyễn Thị Hồng Anh,Bà Nguyễn Thị Hồng Anh,Bà Nguyễn Thị Hồng Anh,Thành viên,,,
