row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,-,4.461.631.355,41.803.790.030,22.943.068.756,69.208.490.141,,4461631355.0,41803790030.0,22943068756.0,69208490141.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,2.816.280.000,3.976.622.874,6.792.902.874,,,2816280000.0,3976622874.0,6792902874.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,24.860.459.741,1.970.850.390,-,2.875.353.797,29.706.663.928,24860459741.0,1970850390.0,,2875353797.0,29706663928.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,24.860.459.741,6.432.481.745,44.620.070.030,29.795.045.427,105.708.056.943,24860459741.0,6432481745.0,44620070030.0,29795045427.0,105708056943.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,2.718.571.941,24.349.956.482,16.026.356.623,43.094.885.046,,2718571941.0,24349956482.0,16026356623.0,43094885046.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.386.410.951,907.631.281,5.220.971.096,2.692.076.603,11.207.089.931,2386410951.0,907631281.0,5220971096.0,2692076603.0,11207089931.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.386.410.951,3.626.203.222,29.570.927.578,18.718.433.226,54.301.974.977,2386410951.0,3626203222.0,29570927578.0,18718433226.0,54301974977.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,-,1.743.059.414,17.453.833.548,6.916.712.133,26.113.605.095,,1743059414.0,17453833548.0,6916712133.0,26113605095.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,22.474.048.790,2.806.278.523,15.049.142.452,11.076.612.201,51.406.081.966,22474048790.0,2806278523.0,15049142452.0,11076612201.0,51406081966.0
