row_label_raw,row_label_full,Ban Giám đốc,Ban Giám đốc_1,Ban Giám đốc_2,numeric__Ban Giám đốc_1,numeric__Ban Giám đốc_2
,,,Ông Trần Tuấn Dương,Tổng Giám đốc,,
,,,Bà Nguyễn Thị Thảo Nguyên,Phó Tổng Giám đốc,,
,,,Ông Nguyễn Việt Thắng,Phó Tổng Giám đốc,,
