row_label_raw,row_label_full,col_0,Kinh doanh,Cho vay và các khoản phải thu,Sẵn sàng để bán,Tổng cộng,numeric__Kinh doanh,numeric__Cho vay và các khoản phải thu,numeric__Sẵn sàng để bán,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Tiền mặt,Tiền mặt,Tiền mặt,5.271,-,-,5.271,5271.0,,,5271.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,487.200,-,487.200,,487200.0,,487200.0
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,7.905.910,-,7.905.910,,7905910.0,,7905910.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,16.849.954,-,16.849.954,,16849954.0,,16849954.0
Chứng khoán đầu tư - Chứng khoán nợ,Chứng khoán đầu tư - Chứng khoán nợ,Chứng khoán đầu tư - Chứng khoán nợ,-,-,3.651.870,3.651.870,,,3651870.0,3651870.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,990.479,990.479,,,990479.0,990479.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,-,2.216.073,-,2.216.073,,2216073.0,,2216073.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",-,565.887,-,565.887,,565887.0,,565887.0
,,,5.271,28.025.024,4.642.349,32.672.644,5271.0,28025024.0,4642349.0,32672644.0
