row_label_raw,row_label_full,col_0,Vốn điều lệ,Quỹ Đầu tư phát triển,Quỹ Dự phòng tài chính,Quỹ dự trữ bổ sung Vốn điều lệ,Lợi nhuận sau thuế chưa phân phối,"Vốn đầu tư XDCB, mua sắm TSCĐ",Tổng cộng,numeric__Vốn điều lệ,numeric__Quỹ Đầu tư phát triển,numeric__Quỹ Dự phòng tài chính,numeric__Quỹ dự trữ bổ sung Vốn điều lệ,numeric__Lợi nhuận sau thuế chưa phân phối,"numeric__Vốn đầu tư XDCB, mua sắm TSCĐ",numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,2.649.813,30.770,226.811,113.406,642.757,2.328,3.665.885,2649813.0,30770.0,226811.0,113406.0,642757.0,2328.0,3665885.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,,,,,,,
Lợi nhuận trong năm,Tăng trong năm > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,330.571,-,330.571,,,,,330571.0,,330571.0
Chia cổ tức bằng phát hành cổ phiếu,Tăng trong năm > Chia cổ tức bằng phát hành cổ phiếu,Chia cổ tức bằng phát hành cổ phiếu,397.263,-,-,-,-,-,397.263,397263.0,,,,,,397263.0
Trích bổ sung các quỹ từ lợi nhuận năm trước,Tăng trong năm > Trích bổ sung các quỹ từ lợi nhuận năm trước,Trích bổ sung các quỹ từ lợi nhuận năm trước,-,-,22.841,11.421,-,-,34.262,,,22841.0,11421.0,,,34262.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,,,,,,,
Trích bổ sung các quỹ từ lợi nhuận năm trước,Giảm trong năm > Trích bổ sung các quỹ từ lợi nhuận năm trước,Trích bổ sung các quỹ từ lợi nhuận năm trước,-,-,-,-,(46.549),-,(46.549),,,,,-46549.0,,-46549.0
Chia cổ tức bằng phát hành cổ phiếu,Giảm trong năm > Chia cổ tức bằng phát hành cổ phiếu,Chia cổ tức bằng phát hành cổ phiếu,-,-,-,-,(397.263),-,(397.263),,,,,-397263.0,,-397263.0
Số dư cuối năm,Giảm trong năm > Số dư cuối năm,Số dư cuối năm,3.047.076,30.770,249.652,124.827,529.516,2.328,3.984.169,3047076.0,30770.0,249652.0,124827.0,529516.0,2328.0,3984169.0
