row_label_raw,row_label_full,Thời gian quá hạn,Tỷ lệ dự phòng,numeric__Tỷ lệ dự phòng
Từ trên 6 tháng đến dưới 1 năm,Từ trên 6 tháng đến dưới 1 năm,Từ trên 6 tháng đến dưới 1 năm,30%,0.3
Từ 1 năm đến dưới 2 năm,Từ 1 năm đến dưới 2 năm,Từ 1 năm đến dưới 2 năm,50%,0.5
Từ 2 năm đến dưới 3 năm,Từ 2 năm đến dưới 3 năm,Từ 2 năm đến dưới 3 năm,70%,0.7
Từ 3 năm trở lên,Từ 3 năm trở lên,Từ 3 năm trở lên,100%,1.0
