row_label_raw,row_label_full,Ông Nguyễn Quốc Tuân,Trường Ban Kiểm soát,numeric__Trường Ban Kiểm soát
Bà Đỗ Thị Hà,Bà Đỗ Thị Hà,Bà Đỗ Thị Hà,Thành viên,
Ông Nguyễn Xuân Điệp,Ông Nguyễn Xuân Điệp,Ông Nguyễn Xuân Điệp,Thành viên,
Ông Lê Long Giang,Ông Lê Long Giang,Ông Lê Long Giang,Thành viên (Bố nhiệm từ ngày 27 tháng 4 năm 2021),
