row_label_raw,row_label_full,col_0,Giá trị ghi số(Không bao gồm dự phòng) > Số cuối năm,Giá trị ghi số(Không bao gồm dự phòng) > Số đầu năm,Giá trị hợp lý > Số cuối năm,Giá trị hợp lý > Số đầu năm,numeric__Giá trị ghi số(Không bao gồm dự phòng) > Số cuối năm,numeric__Giá trị ghi số(Không bao gồm dự phòng) > Số đầu năm,numeric__Giá trị hợp lý > Số cuối năm,numeric__Giá trị hợp lý > Số đầu năm
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tiền mặt,Tài sản tài chính > Tiền mặt,Tiền mặt,5.271,1.977,5.271,1.977,5271.0,1977.0,5271.0,1977.0
Tiền gửi tại Ngân hàng Nhà nước (NHNN),Tài sản tài chính > Tiền gửi tại Ngân hàng Nhà nước (NHNN),Tiền gửi tại Ngân hàng Nhà nước (NHNN),487.200,100.855,487.200,100.855,487200.0,100855.0,487200.0,100855.0
Tiền gửi và cho vay các TCTD khác,Tài sản tài chính > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,7.905.910,8.255.119,(*),(*),7905910.0,8255119.0,,
Cho vay khách hàng,Tài sản tài chính > Cho vay khách hàng,Cho vay khách hàng,16.849.954,12.029.785,(*),(*),16849954.0,12029785.0,,
Chứng khoán đầu tư - Chứng khoán nợ,Tài sản tài chính > Chứng khoán đầu tư - Chứng khoán nợ,Chứng khoán đầu tư - Chứng khoán nợ,3.651.870,6.609.272,(*),(*),3651870.0,6609272.0,,
Đầu tư dài hạn khác,Tài sản tài chính > Đầu tư dài hạn khác,Đầu tư dài hạn khác,990.479,447.573,(*),(*),990479.0,447573.0,,
Các khoản phải thu,Tài sản tài chính > Các khoản phải thu,Các khoản phải thu,2.216.073,1.061.202,(*),(*),2216073.0,1061202.0,,
"Các khoản lãi, phí phải thu","Tài sản tài chính > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",565.887,658.740,(*),(*),565887.0,658740.0,,
,,,32.672.644,29.164.523,,,32672644.0,29164523.0,,
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,,,
Tiền gửi và vay các TCTD khác,Công nợ tài chính > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,11.467.229,12.965.360,(*),(*),11467229.0,12965360.0,,
Tiền gửi của khách hàng,Công nợ tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,4.537.967,6.773.022,(*),(*),4537967.0,6773022.0,,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Công nợ tài chính > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",5.701.221,4.528.715,(*),(*),5701221.0,4528715.0,,
Phát hành giấy tờ có giá,Công nợ tài chính > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,6.060.000,500.000,(*),(*),6060000.0,500000.0,,
"Các khoản lãi, phí phải trả","Công nợ tài chính > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",427.587,226.078,(*),(*),427587.0,226078.0,,
Các khoản phải trả và công nợ khác,Công nợ tài chính > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,139.470,98.850,(*),(*),139470.0,98850.0,,
,,,28.333.474,25.092.025,,,28333474.0,25092025.0,,
