row_label_raw,row_label_full,col_0,Quyền sử dụng đất vô thời hạn,Phần mềm máy tính,TSCĐ vô hình khác,Tổng,numeric__Quyền sử dụng đất vô thời hạn,numeric__Phần mềm máy tính,numeric__TSCĐ vô hình khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày đầu năm,Nguyên giá > Tại ngày đầu năm,Tại ngày đầu năm,18.244,53.250,883,72.377,18244.0,53250.0,883.0,72377.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,-,11.915,1.153,13.068,,11915.0,1153.0,13068.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,18.244,65.165,2.036,85.445,18244.0,65165.0,2036.0,85445.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Tại ngày đầu năm,Giá trị hao mòn lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,-,(29.360),(138),(29.498),,-29360.0,-138.0,-29498.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(5.377),(219),(5.596),,-5377.0,-219.0,-5596.0
Tại ngày cuối năm,Giá trị hao mòn lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,-,(34.737),(357),(35.094),,-34737.0,-357.0,-35094.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,18.244,23.890,745,42.879,18244.0,23890.0,745.0,42879.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,18.244,30.428,1.679,50.351,18244.0,30428.0,1679.0,50351.0
