row_label_raw,row_label_full,col_0,Cuối năm,Cuối năm_1,Cuối năm_2,Đầu năm,Đầu năm_1,Đầu năm_2,numeric__Cuối năm,numeric__Cuối năm_1,numeric__Cuối năm_2,numeric__Đầu năm,numeric__Đầu năm_1,numeric__Đầu năm_2
,,,Tổng số,Vốn CP thường,Tỷ lệ,Tổng số,Vốn CP thường,Tỷ lệ,,,,,,
,,,Triệu VND,Triệu VND,%,Triệu VND,Triệu VND,%,,,,,,
Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,70.800,70.800,"2,32%",131.600,131.600,"4,97%",70800.0,70800.0,0.0232,131600.0,131600.0,0.049699999999999994
Công ty TNHH Đầu tư và Tư vấn Thiên Triều Aria,Công ty TNHH Đầu tư và Tư vấn Thiên Triều Aria,Công ty TNHH Đầu tư và Tư vấn Thiên Triều Aria,-,-,-,132.489,132.489,"4,99%",,,,132489.0,132489.0,0.0499
Các cổ đông khác,Các cổ đông khác,Các cổ đông khác,2.976.276,2.976.276,"97,68%",2.385.724,2.385.724,"90,04%",2976276.0,2976276.0,0.9768000000000001,2385724.0,2385724.0,0.9004000000000001
,,,3.047.076,3.047.076,100%,2.649.813,2.649.813,100%,3047076.0,3047076.0,1.0,2649813.0,2649813.0,1.0
