row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN,,,,,,,
I.,A. > I.,I.,Tiền mặt,5,5.271,1.977,,5.0,5271.0,1977.0
II.,A. > II.,II.,Tiền gửi tại Ngân hàng Nhà nước (NHNN),6,487.200,100.855,,6.0,487200.0,100855.0
III.,A. > III.,III.,Tiền gửi và cho vay các TCTD khác,7,7.905.910,8.255.119,,7.0,7905910.0,8255119.0
1.,A. > 1.,1.,Tiền gửi tại các TCTD khác,,4.651.460,5.457.019,,,4651460.0,5457019.0
2.,A. > 2.,2.,Cho vay các TCTD khác,,3.254.450,2.798.100,,,3254450.0,2798100.0
IV.,A. > IV.,IV.,Cho vay khách hàng,,16.629.192,11.883.573,,,16629192.0,11883573.0
1.,A. > 1.,1.,Cho vay khách hàng,8,16.849.954,12.029.785,,8.0,16849954.0,12029785.0
2.,A. > 2.,2.,Dự phòng rủi ro cho vay khách hàng,9,(220.762),(146.212),,9.0,-220762.0,-146212.0
V.,A. > V.,V.,Chứng khoán đầu tư,10,3.616.056,6.456.403,,10.0,3616056.0,6456403.0
1.,A. > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,,3.651.870,6.378.484,,,3651870.0,6378484.0
2.,A. > 2.,2.,Chứng khoán đầu tư nằm giữ đến ngày đáo hạn,,-,230.788,,,,230788.0
3.,A. > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,,(35.814),(152.869),,,-35814.0,-152869.0
VI.,A. > VI.,VI.,"Góp vốn, đầu tư dài hạn",11,989.599,446.784,,11.0,989599.0,446784.0
1.,A. > 1.,1.,Đầu tư dài hạn khác,,990.479,447.573,,,990479.0,447573.0
2.,A. > 2.,2.,Dự phòng giảm giá đầu tư dài hạn,,(880),(789),,,-880.0,-789.0
VII.,A. > VII.,VII.,Tài sản cố định,,87.700,77.900,,,87700.0,77900.0
1.,A. > 1.,1.,Tài sản cố định hữu hình,12,37.349,35.021,,12.0,37349.0,35021.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,108.655,99.097,,,108655.0,99097.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(71.306),(64.076),,,-71306.0,-64076.0
2.,A. > 2.,2.,Tài sản cố định vô hình,13,50.351,42.879,,13.0,50351.0,42879.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,85.445,72.377,,,85445.0,72377.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(35.094),(29.498),,,-35094.0,-29498.0
VIII.,A. > VIII.,VIII.,Tài sản Có khác,14,2.666.537,1.582.282,,14.0,2666537.0,1582282.0
1.,A. > 1.,1.,Các khoản phải thu,,2.223.191,1.065.806,,,2223191.0,1065806.0
2.,A. > 2.,2.,"Các khoản lãi, phí phải thu",,565.887,658.740,,,565887.0,658740.0
3.,A. > 3.,3.,Tài sản Có khác,,62.080,52.890,,,62080.0,52890.0
4.,A. > 4.,4.,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,,(184.621),(195.154),,,-184621.0,-195154.0
TỔNG TÀI SẢN CÓ,A. > TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,,32.387.465,28.804.893,,,32387465.0,28804893.0
