row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,"Thiết bị,dụng cụquản lý",Tài sản cốđịnh hữu hìnhkhác,Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,"numeric__Thiết bị,dụng cụquản lý",numeric__Tài sản cốđịnh hữu hìnhkhác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày đầu năm,Nguyên giá > Tại ngày đầu năm,Tại ngày đầu năm,8.280,42.240,23.875,23.026,1.676,99.097,8280.0,42240.0,23875.0,23026.0,1676.0,99097.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,-,7.633,-,1.925,-,9.558,,7633.0,,1925.0,,9558.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,8.280,49.873,23.875,24.951,1.676,108.655,8280.0,49873.0,23875.0,24951.0,1676.0,108655.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Tại ngày đầu năm,Giá trị hao mòn lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,(1.462),(23.470),(22.303),(15.566),(1.275),(64.076),-1462.0,-23470.0,-22303.0,-15566.0,-1275.0,-64076.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,(331),(3.953),(789),(2.150),(7),(7.230),-331.0,-3953.0,-789.0,-2150.0,-7.0,-7230.0
Tại ngày cuối năm,Giá trị hao mòn lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,(1.793),(27.423),(23.092),(17.716),(1.282),(71.306),-1793.0,-27423.0,-23092.0,-17716.0,-1282.0,-71306.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,6.818,18.770,1.572,7.460,401,35.021,6818.0,18770.0,1572.0,7460.0,401.0,35021.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,6.487,22.450,783,7.235,394,37.349,6487.0,22450.0,783.0,7235.0,394.0,37349.0
