row_label_raw,row_label_full,Tên công ty con,Tên công ty con_1,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tỷ lệ biểu quyết (%),numeric__Tên công ty con_1,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng hoạt động,numeric__Tỷ lệ biểu quyết (%)
(1),(1),(1),"Công ty Cổ phần Đầu tư Đất Viễn Đông (""Vidoland"")",Kinh doanh BDS,Đang hoạt động,"99,99",,,,99.99
(2),(2),(2),"Công ty TNHH Xây dựng Thương mại Dịch vụ Hà Thuận Hùng (""Hà Thuận Hùng"")",Kinh doanh BDS,Đang hoạt động,"99,89",,,,99.89
(3),(3),(3),"Công ty Cổ phần In Nông Nghiệp (""In Nông Nghiệp"")",Kinh doanh BDS,Đang hoạt động,"99,98",,,,99.98
(4),(4),(4),"Công ty Cổ phần Xây dựng Địa ốc Long Kim Phát (""Long Kim Phát"")",Kinh doanh BDS,Đang hoạt động,100,,,,100.0
(5),(5),(5),"Công ty TNHH Đầu tư Xây dựng Thương mại Xuân Định (""Xuân Định"")",Kinh doanh BDS,Đang hoạt động,"99,99",,,,99.99
(6),(6),(6),"Công ty Cổ phần Vicco Sài Gòn (""Vicco Sài Gòn"")",Kinh doanh BDS,Đang hoạt động,"99,99",,,,99.99
(7),(7),(7),"Công ty Cổ phần Dịch vụ và Địa ốc Đất Xanh Miền Bắc (""Đất Xanh Miền Bắc"")",Kinh doanh và môi giới BDS,Đang hoạt động,51,,,,51.0
(8),(8),(8),"Công ty Cổ phần Đất Xanh Miền Trung (""Đất Xanh Miền Trung"")",Kinh doanh và môi giới BDS,Đang hoạt động,55,,,,55.0
(9),(9),(9),"Công ty Cổ phần Xây dựng ECI (""Xây dựng ECI"")",Xây dựng,Đang hoạt động,"89,26",,,,89.26
(10),(10),(10),"Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Miền Nam (""Đất Xanh Miền Nam"")",Kinh doanh và môi giới BDS,Đang hoạt động,51,,,,51.0
(11),(11),(11),"Công ty Cổ phần Đất Xanh Đông Nam Bộ (""Đất Xanh Đông Nam Bộ"")",Kinh doanh và môi giới BDS,Đang hoạt động,51,,,,51.0
(12),(12),(12),"Công ty Cổ phần Bất động sản Sài Đồng (""Sài Đồng"")",Kinh doanh BDS,Đang hoạt động,51,,,,51.0
