row_label_raw,row_label_full,Vào ngày 31 tháng 12 năm 2015 và cho năm tài chính kết thúc cùng ngày,Miền Nam > Vào ngày 31 tháng 12 năm 2015 và cho năm tài chính kết thúc cùng ngày,Miền Bắc > Vào ngày 31 tháng 12 năm 2015 và cho năm tài chính kết thúc cùng ngày,Miền Trung > Vào ngày 31 tháng 12 năm 2015 và cho năm tài chính kết thúc cùng ngày,Loại trừ > Vào ngày 31 tháng 12 năm 2015 và cho năm tài chính kết thúc cùng ngày,VND Tổng cộng > Vào ngày 31 tháng 12 năm 2015 và cho năm tài chính kết thúc cùng ngày,numeric__Miền Nam > Vào ngày 31 tháng 12 năm 2015 và cho năm tài chính kết thúc cùng ngày,numeric__Miền Bắc > Vào ngày 31 tháng 12 năm 2015 và cho năm tài chính kết thúc cùng ngày,numeric__Miền Trung > Vào ngày 31 tháng 12 năm 2015 và cho năm tài chính kết thúc cùng ngày,numeric__Loại trừ > Vào ngày 31 tháng 12 năm 2015 và cho năm tài chính kết thúc cùng ngày,numeric__VND Tổng cộng > Vào ngày 31 tháng 12 năm 2015 và cho năm tài chính kết thúc cùng ngày
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu thuần > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,933.071.850.720,409.877.584.606,138.294.896.167,(86.739.553.825),1.394.504.777.668,933071850720.0,409877584606.0,138294896167.0,-86739553825.0,1394504777668.0
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,,,,,1.394.504.777.668,,,,,1394504777668.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Lợi nhuận gộp của bộ phận,Kết quả hoạt động kinh doanh > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,318.083.056.072,225.857.028.368,112.327.702.469,2.977.035.484,659.244.822.393,318083056072.0,225857028368.0,112327702469.0,2977035484.0,659244822393.0
Doanh thu hoạt động tài chính,Kết quả hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,85.885.209.467,1.242.052.901,2.052.222.917,(52.335.707.326),36.843.777.959,85885209467.0,1242052901.0,2052222917.0,-52335707326.0,36843777959.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,(5.226.481.801),(818.901.057),-,(2.449.609.567),(8.494.992.425),-5226481801.0,-818901057.0,,-2449609567.0,-8494992425.0
Chi phí bán hàng,Kết quả hoạt động kinh doanh > Chi phí bán hàng,Chi phí bán hàng,(62.683.270.531),(76.437.960.810),(8.545.794.547),3.312.379.083,(144.354.646.805),-62683270531.0,-76437960810.0,-8545794547.0,3312379083.0,-144354646805.0
Chi phí quản lý doanh nghiệp,Kết quả hoạt động kinh doanh > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(93.604.905.001),(24.599.102.957),(7.636.450.579),742.891.524,(125.097.567.013),-93604905001.0,-24599102957.0,-7636450579.0,742891524.0,-125097567013.0
Lợi nhuận (lỗ) khác,Kết quả hoạt động kinh doanh > Lợi nhuận (lỗ) khác,Lợi nhuận (lỗ) khác,3.312.009.424,(4.200.621.383),2.279.924.473,54.266.123.073,55.657.435.587,3312009424.0,-4200621383.0,2279924473.0,54266123073.0,55657435587.0
