row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 12.384.921.656,Số phải nộp trong năm > 70.440.130.172,Số đã nộp trong năm > (33.546.640.536),Giảm do thanh lý công ty con > -,VND Số cuối năm > 49.278.411.292,numeric__Số đầu năm > 12.384.921.656,numeric__Số phải nộp trong năm > 70.440.130.172,numeric__Số đã nộp trong năm > (33.546.640.536),numeric__Giảm do thanh lý công ty con > -,numeric__VND Số cuối năm > 49.278.411.292
Thuế TNDN,Thuế TNDN,Thuế TNDN,50.452.132.019,152.184.780.457,(86.275.259.950),-,116.361.652.526,50452132019.0,152184780457.0,-86275259950.0,,116361652526.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,6.323.589.493,26.870.033.311,(24.720.082.733),(10.057.180),8.463.482.891,6323589493.0,26870033311.0,-24720082733.0,-10057180.0,8463482891.0
Khác,Khác,Khác,1.250.000,9.851.582,(10.101.582),-,1.000.000,1250000.0,9851582.0,-10101582.0,,1000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,69.161.893.168,249.504.795.522,(144.552.084.801),(10.057.180),174.104.546.709,69161893168.0,249504795522.0,-144552084801.0,-10057180.0,174104546709.0
