row_label_raw,row_label_full,Số dư đầu năm > Tăng trong năm,312.236.210.000 > 118.000.000.000,numeric__312.236.210.000 > 118.000.000.000
Giảm do thanh lý khoản đầu tư,Giảm do thanh lý khoản đầu tư,Giảm do thanh lý khoản đầu tư,(1.527.800.000),-1527800000.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,428.708.410.000,428708410000.0
