row_label_raw,row_label_full,Số dư đầu năm > Phần lợi nhuận từ các công ty liên kết trong năm,80.444.531.301 > 74.701.676.848,numeric__80.444.531.301 > 74.701.676.848
Giảm do thanh lý khoản đầu tư,Giảm do thanh lý khoản đầu tư,Giảm do thanh lý khoản đầu tư,(462.173.642),-462173642.0
Cổ tức được chia trong năm,Cổ tức được chia trong năm,Cổ tức được chia trong năm,(680.400.000),-680400000.0
Chia quỹ khen thưởng phúc lợi,Chia quỹ khen thưởng phúc lợi,Chia quỹ khen thưởng phúc lợi,(2.659.006.809),-2659006809.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,151.344.627.698,151344627698.0
