row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,"Máy móc, thiết bị",Phương tiện vận tải,Thiết bị văn phòng,Tài sản cố định khác,VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,"numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản cố định khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,3.236.745.151,5.639.192.229,20.513.573.932,3.449.094.029,-,32.838.605.341,3236745151.0,5639192229.0,20513573932.0,3449094029.0,,32838605341.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,-,5.912.454.545,706.085.273,133.078.182,6.751.618.000,,,5912454545.0,706085273.0,133078182.0,6751618000.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,-,1.600.000.000,-,-,1.600.000.000,,,1600000000.0,,,1600000000.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(2.943.005.151),-,-,-,-,(2.943.005.151),-2943005151.0,,,,,-2943005151.0
Giảm do thanh lý công ty con,Nguyên giá: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(63.558.182),(78.000.000),-,-,-,(141.558.182),-63558182.0,-78000000.0,,,,-141558182.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,230.181.818,5.561.192.229,28.026.028.477,4.155.179.302,133.078.182,38.105.660.008,230181818.0,5561192229.0,28026028477.0,4155179302.0,133078182.0,38105660008.0
Trong đó: Đã khấu hao hết,Nguyên giá: > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,-,40.000.000,5.418.615.304,662.513.589,-,6.121.128.893,,40000000.0,5418615304.0,662513589.0,,6121128893.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số dư đầu năm,Giá trị khấu hao lũy kế: > Số dư đầu năm,Số dư đầu năm,(2.138.345.400),(1.305.771.912),(10.402.438.876),(1.022.429.193),-,(14.868.985.381),-2138345400.0,-1305771912.0,-10402438876.0,-1022429193.0,,-14868985381.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(73.917.185),(635.201.772),(3.226.409.966),(562.172.799),(15.252.782),(4.512.954.504),-73917185.0,-635201772.0,-3226409966.0,-562172799.0,-15252782.0,-4512954504.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,2.021.641.245,-,-,-,-,2.021.641.245,2021641245.0,,,,,2021641245.0
Giảm do thanh lý công ty con,Giá trị khấu hao lũy kế: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,63.558.182,78.000.000,-,-,-,141.558.182,63558182.0,78000000.0,,,,141558182.0
Số dư cuối năm,Giá trị khấu hao lũy kế: > Số dư cuối năm,Số dư cuối năm,(127.063.158),(1.862.973.684),(13.628.848.842),(1.584.601.992),(15.252.782),(17.218.740.458),-127063158.0,-1862973684.0,-13628848842.0,-1584601992.0,-15252782.0,-17218740458.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,1.098.399.751,4.333.420.317,10.111.135.056,2.426.664.836,-,17.969.619.960,1098399751.0,4333420317.0,10111135056.0,2426664836.0,,17969619960.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,103.118.660,3.698.218.545,14.397.179.635,2.570.577.310,117.825.400,20.886.919.550,103118660.0,3698218545.0,14397179635.0,2570577310.0,117825400.0,20886919550.0
Trong đó: Thế chấp để đảm bảo các khoản vay (Thuyết minh số 26.2),Giá trị còn lại: > Trong đó: Thế chấp để đảm bảo các khoản vay (Thuyết minh số 26.2),Trong đó: Thế chấp để đảm bảo các khoản vay (Thuyết minh số 26.2),-,-,3.518.895.985,-,-,3.518.895.985,,,3518895985.0,,,3518895985.0
