row_label_raw,row_label_full,Bà Trần Thị Thùy Trang,Trường ban,numeric__Trường ban
Bà Trịnh Thị Ngọc Hà,Bà Trịnh Thị Ngọc Hà,Bà Trịnh Thị Ngọc Hà,Thành viên,
Ông Nguyễn Quốc Vy Liêm,Ông Nguyễn Quốc Vy Liêm,Ông Nguyễn Quốc Vy Liêm,Thành viên,
