row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm,Trang web,Tài sản khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm,numeric__Trang web,numeric__Tài sản khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,2.755.470.854,631.349.309,442.166.005,310.734.600,4.139.720.768,2755470854.0,631349309.0,442166005.0,310734600.0,4139720768.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,13.363.683.792,1.036.568.000,161.000.000,-,14.561.251.792,13363683792.0,1036568000.0,161000000.0,,14561251792.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,732.000.000,-,-,732.000.000,,732000000.0,,,732000000.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,16.119.154.646,2.399.917.309,603.166.005,310.734.600,19.432.972.560,16119154646.0,2399917309.0,603166005.0,310734600.0,19432972560.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã hao mòn hết,Trong đó: > Đã hao mòn hết,Đã hao mòn hết,-,-,385.166.005,107.434.600,492.600.605,,,385166005.0,107434600.0,492600605.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,(340.743.969),(241.425.466),(356.026.883),(132.847.090),(1.071.043.408),-340743969.0,-241425466.0,-356026883.0,-132847090.0,-1071043408.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,(264.085.375),(76.618.300),(50.824.994),(391.528.669),,-264085375.0,-76618300.0,-50824994.0,-391528669.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,(340.743.969),(505.510.841),(432.645.183),(183.672.084),(1.462.572.077),-340743969.0,-505510841.0,-432645183.0,-183672084.0,-1462572077.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,2.414.726.885,389.923.843,86.139.122,177.887.510,3.068.677.360,2414726885.0,389923843.0,86139122.0,177887510.0,3068677360.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,15.778.410.677,1.894.406.468,170.520.822,127.062.516,17.970.400.483,15778410677.0,1894406468.0,170520822.0,127062516.0,17970400483.0
