row_label_raw,row_label_full,Ông LươngTrí Thảo,Thành viênHĐQT,Ứng trước,1.100.000.000,-,numeric__Thành viênHĐQT,numeric__Ứng trước,numeric__1.100.000.000,numeric__-
Ông NguyễnKhánh Hưng,Ông NguyễnKhánh Hưng,Ông NguyễnKhánh Hưng,Thành viênHĐQT,Ứng trước,200.000.000,-,,,200000000.0,
LDG,LDG,LDG,Công tyliên kết,Ứng trước,-,4.000.000.000,,,,4000000000.0
,,,,,1.300.000.000,4.000.000.000,,,1300000000.0,4000000000.0
