row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,750.000.000.000,10.867.980.806,(580.000.000),13.389.194.033,229.082.939.263,1.002.760.114.102,750000000000.0,10867980806.0,-580000000.0,13389194033.0,229082939263.0,1002760114102.0
Phát hành mới,Năm trước > Phát hành mới,Phát hành mới,257.000.000.000,-,-,-,-,257.000.000.000,257000000000.0,,,,,257000000000.0
Cổ tức bằng cổ phiếu,Năm trước > Cổ tức bằng cổ phiếu,Cổ tức bằng cổ phiếu,158.635.700.000,-,-,-,(158.635.700.000),-,158635700000.0,,,,-158635700000.0,
Phát hành cổ phiếu theo,Phát hành cổ phiếu theo,Phát hành cổ phiếu theo,,,,,,,,,,,,
Chương trình lựa chọn,Chương trình lựa chọn,Chương trình lựa chọn,,,,,,,,,,,,
cho người lao động,Chương trình lựa chọn > cho người lao động,cho người lao động,7.000.000.000,-,-,-,(7.000.000.000),-,7000000000.0,,,,-7000000000.0,
Lợi nhuận thuần trong năm,Chương trình lựa chọn > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,336.628.536.350,336.628.536.350,,,,,336628536350.0,336628536350.0
Trích quỹ đầu tư phát triển,Chương trình lựa chọn > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,5.495.482.022,(5.495.482.022),-,,,,5495482022.0,-5495482022.0,
Trích quỹ khen thưởngphúc lợi,Chương trình lựa chọn > Trích quỹ khen thưởngphúc lợi,Trích quỹ khen thưởngphúc lợi,-,-,-,-,(22.298.881.951),(22.298.881.951),,,,,-22298881951.0,-22298881951.0
Tăng do thay đổi tỷ lệ sở hữutrong công ty con,Chương trình lựa chọn > Tăng do thay đổi tỷ lệ sở hữutrong công ty con,Tăng do thay đổi tỷ lệ sở hữutrong công ty con,-,-,-,-,9.997.457.369,9.997.457.369,,,,,9997457369.0,9997457369.0
Khác,Chương trình lựa chọn > Khác,Khác,-,-,-,-,(264.509.611),(264.509.611),,,,,-264509611.0,-264509611.0
Số dư cuối năm,Chương trình lựa chọn > Số dư cuối năm,Số dư cuối năm,1.172.635.700.000,10.867.980.806,(580.000.000),18.884.676.055,382.014.359.398,1.583.822.716.259,1172635700000.0,10867980806.0,-580000000.0,18884676055.0,382014359398.0,1583822716259.0
