row_label_raw,row_label_full,Công ty TNHH IDE Việt Nam > Công ty Cổ phần C.T - Phương Nam,Số cuối năm > 15.000.000.000 > 9.000.000.000,VND Số đầu năm > - > 9.000.000.000,numeric__Số cuối năm > 15.000.000.000 > 9.000.000.000,numeric__VND Số đầu năm > - > 9.000.000.000
Công ty Cổ phần Đầu tư và Phát triển,Công ty Cổ phần Đầu tư và Phát triển,Công ty Cổ phần Đầu tư và Phát triển,,,,
Dự án Hạ tầng Thái Bình Dương – PPI,Công ty Cổ phần Đầu tư và Phát triển > Dự án Hạ tầng Thái Bình Dương – PPI,Dự án Hạ tầng Thái Bình Dương – PPI,-,64.822.983.313,,64822983313.0
Khác,Công ty Cổ phần Đầu tư và Phát triển > Khác,Khác,57.292.374.508,32.179.115.932,57292374508.0,32179115932.0
TỔNG CỘNG,Công ty Cổ phần Đầu tư và Phát triển > TỔNG CỘNG,TỔNG CỘNG,81.292.374.508,106.002.099.245,81292374508.0,106002099245.0
