row_label_raw,row_label_full,col_0,col_1,Số cuối năm,VND Số đầu năm,numeric__col_1,numeric__Số cuối năm,numeric__VND Số đầu năm
Bất động sản dở dang,Bất động sản dở dang,Bất động sản dở dang,(i),584.358.381.648,1.035.968.322.422,,584358381648.0,1035968322422.0
Bất động sản thành phẩm,Bất động sản thành phẩm,Bất động sản thành phẩm,,238.790.150.712,53.075.724.719,,238790150712.0,53075724719.0
- Dự án Luxcity,- Dự án Luxcity,- Dự án Luxcity,,219.237.981.581,-,,219237981581.0,
- Dự án An Viên,- Dự án An Viên,- Dự án An Viên,,19.552.169.131,-,,19552169131.0,
- Dự án Sunview Town,- Dự án Sunview Town,- Dự án Sunview Town,,-,53.075.724.719,,,53075724719.0
Bất động sản chờ bán,Bất động sản chờ bán,Bất động sản chờ bán,(ii),52.146.302.310,4.919.065.380,,52146302310.0,4919065380.0
Các công trình xây dựng dở dang,Các công trình xây dựng dở dang,Các công trình xây dựng dở dang,,36.155.554.575,22.578.003.209,,36155554575.0,22578003209.0
Nguyên vật liệu xây dựng,Nguyên vật liệu xây dựng,Nguyên vật liệu xây dựng,,3.921.026.430,3.527.493.021,,3921026430.0,3527493021.0
Hàng hóa,Hàng hóa,Hàng hóa,,989.072.190,1.470.811.338,,989072190.0,1470811338.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",,391.351.956,489.213.004,,391351956.0,489213004.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,916.751.839.821,1.122.028.633.093,,916751839821.0,1122028633093.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,,(1.249.221.145),-,,-1249221145.0,
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,,915.502.618.676,1.122.028.633.093,,915502618676.0,1122028633093.0
