row_label_raw,row_label_full,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con_1,numeric__Thông tin lưu chuyển tiền tệ từ việc mua công ty con_1
Tiền thu về từ công ty con,Tiền thu về từ công ty con,Tiền thu về từ công ty con,716.509.437,716509437.0
Tiền đã chỉ để mua công ty con,Tiền đã chỉ để mua công ty con,Tiền đã chỉ để mua công ty con,(59.973.600.000),-59973600000.0
