row_label_raw,row_label_full,col_0,Nhà xuǒngvà vát kiěn trúc,Máy mócvà thiēt bi,Phuǒng tiēnvàn tǎi,Thiēt bi vǎn phòng,Tài sān cǒ dǐnh hòu hìn khác,Tǒng,numeric__Nhà xuǒngvà vát kiěn trúc,numeric__Máy mócvà thiēt bi,numeric__Phuǒng tiēnvàn tǎi,numeric__Thiēt bi vǎn phòng,numeric__Tài sān cǒ dǐnh hòu hìn khác,numeric__Tǒng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Sõ du dαu nám,NGUYÊN GIÁ > Sõ du dαu nám,Sõ du dαu nám,17.993.918.181.199,48.710.360.123.696,322.308.071.656,142.038.525.823,2.125.174.725.439,69.293.799.627.813,17993918181199.0,48710360123696.0,322308071656.0,142038525823.0,2125174725439.0,69293799627813.0
Tăng trong nám,NGUYÊN GIÁ > Tăng trong nám,Tăng trong nám,1.870.519.271,9.108.949.089,22.575.448.727,26.430.303.964,251.576.534,60.236.797.585,1870519271.0,9108949089.0,22575448727.0,26430303964.0,251576534.0,60236797585.0
Dàu tu xay dung co bàn hoàn thanh,NGUYÊN GIÁ > Dàu tu xay dung co bàn hoàn thanh,Dàu tu xay dung co bàn hoàn thanh,258.019.591.281,14.591.050.476,-,5.787.444.901,-,278.398.086.658,258019591281.0,14591050476.0,,5787444901.0,,278398086658.0
"Thanh lý, nuǒng bàn","NGUYÊN GIÁ > Thanh lý, nuǒng bàn","Thanh lý, nuǒng bàn",(93.456.255),(1.802.917.371),(9.514.593.508),(2.360.402.167),-,(13.771.369.301),-93456255.0,-1802917371.0,-9514593508.0,-2360402167.0,,-13771369301.0
Giam do thanh lý cóng ty con,NGUYÊN GIÁ > Giam do thanh lý cóng ty con,Giam do thanh lý cóng ty con,(74.388.661.997),(17.286.569.429),(19.498.694.403),-,-,(111.173.925.829),-74388661997.0,-17286569429.0,-19498694403.0,,,-111173925829.0
Phân loái lái,NGUYÊN GIÁ > Phân loái lái,Phân loái lái,-,-,-,(91.630.000),91.630.000,-,,,,-91630000.0,91630000.0,
(Giám) khác,NGUYÊN GIÁ > (Giám) khác,(Giám) khác,(4.595.838.387),-,-,(52.476.029),-,(4.648.314.416),-4595838387.0,,,-52476029.0,,-4648314416.0
Sõ du cuǒi nám,NGUYÊN GIÁ > Sõ du cuǒi nám,Sõ du cuǒi nám,18.174.730.335.112,48.714.970.636.461,315.870.232.472,171.751.766.492,2.125.517.931.973,69.502.840.902.510,18174730335112.0,48714970636461.0,315870232472.0,171751766492.0,2125517931973.0,69502840902510.0
GIÁ TRI HAO MÔN LÜY KÉ,GIÁ TRI HAO MÔN LÜY KÉ,GIÁ TRI HAO MÔN LÜY KÉ,GIÁ TRI HAO MÔN LÜY KÉ,GIÁ TRI HAO MÔN LÜY KÉ,GIÁ TRI HAO MÔN LÜY KÉ,GIÁ TRI HAO MÔN LÜY KÉ,GIÁ TRI HAO MÔN LÜY KÉ,GIÁ TRI HAO MÔN LÜY KÉ,,,,,,
Sõ du dαu nám,GIÁ TRI HAO MÔN LÜY KÉ > Sõ du dαu nám,Sõ du dαu nám,4.628.769.412.091,23.929.945.032.417,252.001.501.554,103.982.970.431,265.823.002.257,29.180.521.918.750,4628769412091.0,23929945032417.0,252001501554.0,103982970431.0,265823002257.0,29180521918750.0
