row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phân mềm máy tính,Tổng,numeric__Quyền sử dụng đất,numeric__Phân mềm máy tính,numeric__Tổng
,,,VND,VND,VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,54.263.349.359,44.479.162.685,98.742.512.044,54263349359.0,44479162685.0,98742512044.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,1.829.963.798,6.976.030.842,8.805.994.640,1829963798.0,6976030842.0,8805994640.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,5.575.087.920,5.575.087.920,,5575087920.0,5575087920.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,56.093.313.157,57.030.281.447,113.123.594.604,56093313157.0,57030281447.0,113123594604.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,870.657.764,33.909.986.861,34.780.644.625,870657764.0,33909986861.0,34780644625.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,590.097.898,7.258.202.743,7.848.300.641,590097898.0,7258202743.0,7848300641.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.460.755.662,41.168.189.604,42.628.945.266,1460755662.0,41168189604.0,42628945266.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,53.392.691.595,10.569.175.824,63.961.867.419,53392691595.0,10569175824.0,63961867419.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,54.632.557.495,15.862.091.843,70.494.649.338,54632557495.0,15862091843.0,70494649338.0
