row_label_raw,row_label_full,"Giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quả hạn nhưng khó có khả năng thu hồi > Công ty Mua bán điện (EPTC)- Tập đoàn Điện lực Việt Nam (EVN)",Số cuối năm > Giá gốc > 1.778.564.346.353,Số cuối năm > Dự phòng > 403.358.636.269,Số cuối năm > VNDGiá trị có thể thu hồi được > 1.375.205.710.084,Số cuối năm > Giá gốc > 10.615.012.421,Số đầu năm > Dự phòng > 5.307.506.211,Số đầu năm > VNDGiá trị có thể thu hồi được > 5.307.506.210,numeric__Số cuối năm > Giá gốc > 1.778.564.346.353,numeric__Số cuối năm > Dự phòng > 403.358.636.269,numeric__Số cuối năm > VNDGiá trị có thể thu hồi được > 1.375.205.710.084,numeric__Số cuối năm > Giá gốc > 10.615.012.421,numeric__Số đầu năm > Dự phòng > 5.307.506.211,numeric__Số đầu năm > VNDGiá trị có thể thu hồi được > 5.307.506.210
Công ty Cố phân Xuất nhập khẩu Tân,Công ty Cố phân Xuất nhập khẩu Tân,Công ty Cố phân Xuất nhập khẩu Tân,96.856.865.496,96.856.865.496,-,96.856.865.496,96.856.865.496,-,96856865496.0,96856865496.0,,96856865496.0,96856865496.0,
Công ty Cố phân Tập đoàn Vina,Công ty Cố phân Tập đoàn Vina,Công ty Cố phân Tập đoàn Vina,33.627.654.160,33.627.654.160,-,33.627.654.160,33.627.654.160,-,33627654160.0,33627654160.0,,33627654160.0,33627654160.0,
Công ty TNHH Thành Đức,Công ty TNHH Thành Đức,Công ty TNHH Thành Đức,20.094.119.114,20.094.119.114,-,20.394.119.114,20.394.119.114,-,20094119114.0,20094119114.0,,20394119114.0,20394119114.0,
Công ty Cố phân Xây lập Dầu khí,Công ty Cố phân Xây lập Dầu khí,Công ty Cố phân Xây lập Dầu khí,15.381.516.087,15.381.516.087,-,15.381.516.087,15.381.516.087,-,15381516087.0,15381516087.0,,15381516087.0,15381516087.0,
Công ty Cố phân Tư vấn Dự án Diện,Công ty Cố phân Tư vấn Dự án Diện,Công ty Cố phân Tư vấn Dự án Diện,8.179.082.781,8.179.082.781,-,8.179.082.781,7.866.427.035,312.655.746,8179082781.0,8179082781.0,,8179082781.0,7866427035.0,312655746.0
Công ty Cố phân Thượng mại - Xuất nhập khẩu ĐĐT,Công ty Cố phân Thượng mại - Xuất nhập khẩu ĐĐT,Công ty Cố phân Thượng mại - Xuất nhập khẩu ĐĐT,7.185.149.669,7.185.149.669,-,15.485.149.669,13.285.149.669,2.200.000.000,7185149669.0,7185149669.0,,15485149669.0,13285149669.0,2200000000.0
Công ty Cố phân Xây lậpDầu khí Miền Trung,Công ty Cố phân Xây lậpDầu khí Miền Trung,Công ty Cố phân Xây lậpDầu khí Miền Trung,7.045.317.471,7.045.317.471,-,7.045.317.471,6.646.026.471,399.291.000,7045317471.0,7045317471.0,,7045317471.0,6646026471.0,399291000.0
Các dữ tượng khác,Các dữ tượng khác,Các dữ tượng khác,66.867.484.975,65.756.149.890,1.111.335.085,48.178.581.261,48.160.081.261,18.500.000,66867484975.0,65756149890.0,1111335085.0,48178581261.0,48160081261.0,18500000.0
,,,2.033.801.536.106,657.484.490.937,1.376.317.045.169,255.763.298.460,247.525.345.504,8.237.952.956,2033801536106.0,657484490937.0,1376317045169.0,255763298460.0,247525345504.0,8237952956.0
