row_label_raw,row_label_full,col_0,Năm nay,Từ ngày 01/7/2018đến ngày 31/12/2018,numeric__Năm nay,numeric__Từ ngày 01/7/2018đến ngày 31/12/2018
,,,VND,VND,,
Các khoản chi phí quản lý doanh nghiệpphát sinh trong năm/kỳ,Các khoản chi phí quản lý doanh nghiệpphát sinh trong năm/kỳ,Các khoản chi phí quản lý doanh nghiệpphát sinh trong năm/kỳ,Các khoản chi phí quản lý doanh nghiệpphát sinh trong năm/kỳ,Các khoản chi phí quản lý doanh nghiệpphát sinh trong năm/kỳ,,
Chi phí nhân công,Các khoản chi phí quản lý doanh nghiệpphát sinh trong năm/kỳ > Chi phí nhân công,Chi phí nhân công,352.185.827.389,134.996.138.191,352185827389.0,134996138191.0
Chi phí khấu hao,Các khoản chi phí quản lý doanh nghiệpphát sinh trong năm/kỳ > Chi phí khấu hao,Chi phí khấu hao,38.272.453.984,17.113.279.829,38272453984.0,17113279829.0
Chi phí vật liệu quản lý,Các khoản chi phí quản lý doanh nghiệpphát sinh trong năm/kỳ > Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,28.380.242.831,14.190.068.603,28380242831.0,14190068603.0
Chi phí dịch vụ mua ngoài,Các khoản chi phí quản lý doanh nghiệpphát sinh trong năm/kỳ > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,106.020.832.710,87.291.948.453,106020832710.0,87291948453.0
Các khoản dự phòng,Các khoản chi phí quản lý doanh nghiệpphát sinh trong năm/kỳ > Các khoản dự phòng,Các khoản dự phòng,409.559.854.433,13.120.400.110,409559854433.0,13120400110.0
Chi phí quản lý khác,Các khoản chi phí quản lý doanh nghiệpphát sinh trong năm/kỳ > Chi phí quản lý khác,Chi phí quản lý khác,242.011.542.157,91.810.758.210,242011542157.0,91810758210.0
,,,1.176.430.753.504,358.522.593.396,1176430753504.0,358522593396.0
Các khoản chi phí bán hàngphát sinh trong năm/kỳ,Các khoản chi phí bán hàngphát sinh trong năm/kỳ,Các khoản chi phí bán hàngphát sinh trong năm/kỳ,Các khoản chi phí bán hàngphát sinh trong năm/kỳ,Các khoản chi phí bán hàngphát sinh trong năm/kỳ,,
Chi phí nhân công,Các khoản chi phí bán hàngphát sinh trong năm/kỳ > Chi phí nhân công,Chi phí nhân công,13.020.322.722,3.736.967.927,13020322722.0,3736967927.0
Chi phí khấu hao,Các khoản chi phí bán hàngphát sinh trong năm/kỳ > Chi phí khấu hao,Chi phí khấu hao,631.004.031,132.938.274,631004031.0,132938274.0
Chi phí vật liệu bán hàng,Các khoản chi phí bán hàngphát sinh trong năm/kỳ > Chi phí vật liệu bán hàng,Chi phí vật liệu bán hàng,160.839.396,24.214.702,160839396.0,24214702.0
Chi phí dịch vụ mua ngoài,Các khoản chi phí bán hàngphát sinh trong năm/kỳ > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,13.206.459.384,6.945.446.094,13206459384.0,6945446094.0
,,,27.018.625.533,10.839.566.997,27018625533.0,10839566997.0
