row_label_raw,row_label_full,CHỈ TIÊU,Mã số Thuyết minh,Mã số Thuyết minh_1,Năm nay,Từ ngày 01/7/2018 đến ngày 31/12/2018,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Năm nay,numeric__Từ ngày 01/7/2018 đến ngày 31/12/2018
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,27,35.374.268.090.529,14.835.199.327.861,1.0,27.0,35374268090529.0,14835199327861.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,-,-,2.0,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,35.374.268.090.529,14.835.199.327.861,10.0,,35374268090529.0,14835199327861.0
4. Giá vốn hàng bán và cung cấp dịch vụ,4. Giá vốn hàng bán và cung cấp dịch vụ,4. Giá vốn hàng bán và cung cấp dịch vụ,11,28,30.236.634.203.496,13.075.124.797.360,11.0,28.0,30236634203496.0,13075124797360.0
5. Lợi nhuận góp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận góp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận góp về bán hàng và cung cấp dịch vụ (20=10-11),20,,5.137.633.887.033,1.760.074.530.501,20.0,,5137633887033.0,1760074530501.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,30,453.447.173.083,243.410.811.255,21.0,30.0,453447173083.0,243410811255.0
7. Chỉ phí tài chính,7. Chỉ phí tài chính,7. Chỉ phí tài chính,22,31,1.323.606.244.635,1.031.822.777.468,22.0,31.0,1323606244635.0,1031822777468.0
- Trong đó: Chỉ phí lãi vay,- Trong đó: Chỉ phí lãi vay,- Trong đó: Chỉ phí lãi vay,23,,1.154.051.870.401,661.190.866.665,23.0,,1154051870401.0,661190866665.0
8. Phăn lãi trong công ty liên kết,8. Phăn lãi trong công ty liên kết,8. Phăn lãi trong công ty liên kết,24,,52.036.013.536,40.604.496.676,24.0,,52036013536.0,40604496676.0
9. Chỉ phí bán hàng,9. Chỉ phí bán hàng,9. Chỉ phí bán hàng,25,32,27.018.625.533,10.839.566.997,25.0,32.0,27018625533.0,10839566997.0
10. Chỉ phí quản lý doanh nghiệp,10. Chỉ phí quản lý doanh nghiệp,10. Chỉ phí quản lý doanh nghiệp,26,32,1.176.430.753.504,358.522.593.396,26.0,32.0,1176430753504.0,358522593396.0
11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,3.116.061.449.980,642.904.900.571,30.0,,3116061449980.0,642904900571.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,33,68.255.684.564,17.739.038.522,31.0,33.0,68255684564.0,17739038522.0
13. Chỉ phí khác,13. Chỉ phí khác,13. Chỉ phí khác,32,34,19.279.357.902,5.537.884.662,32.0,34.0,19279357902.0,5537884662.0
14. Lợi nhuận khác (40=31-32),14. Lợi nhuận khác (40=31-32),14. Lợi nhuận khác (40=31-32),40,,48.976.326.662,12.201.153.860,40.0,,48976326662.0,12201153860.0
15. Tổng lợi nhuận kế toán trước thuế (50=30+40),15. Tổng lợi nhuận kế toán trước thuế (50=30+40),15. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,3.165.037.776.642,655.106.054.431,50.0,,3165037776642.0,655106054431.0
16. Chỉ phí thuế thu nhập doanh nghiệp,16. Chỉ phí thuế thu nhập doanh nghiệp,16. Chỉ phí thuế thu nhập doanh nghiệp,51,35,314.086.018.090,79.660.985.050,51.0,35.0,314086018090.0,79660985050.0
17. (Thu nhập)/chỉ phí thuế thu nhập doanh nghiệp hoãn lại,17. (Thu nhập)/chỉ phí thuế thu nhập doanh nghiệp hoãn lại,17. (Thu nhập)/chỉ phí thuế thu nhập doanh nghiệp hoãn lại,52,,(3.937.045.171),250.816.922,52.0,,-3937045171.0,250816922.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,2.854.888.803.723,575.194.252.459,60.0,,2854888803723.0,575194252459.0
Lợi nhuận sau thuế của Công ty mẹ,Lợi nhuận sau thuế của Công ty mẹ,Lợi nhuận sau thuế của Công ty mẹ,61,,2.509.695.587.374,431.441.727.122,61.0,,2509695587374.0,431441727122.0
Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,345.193.216.349,143.752.525.337,62.0,,345193216349.0,143752525337.0
19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,70,36,1.028,174,70.0,36.0,1028.0,174.0
