row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mế số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm,numeric__NGUỒN VỐN_1,numeric__Mế số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,26.186.388.222.756,31.296.044.641.920,,300.0,,26186388222756.0,31296044641920.0
I.,I.,I.,Nợ ngắn hạn,310,,17.063.695.864.858,17.570.678.653.190,,310.0,,17063695864858.0,17570678653190.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,17,4.201.761.470.833,5.900.467.676.009,,311.0,17.0,4201761470833.0,5900467676009.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,20.791.330.544,16.462.104.003,,312.0,,20791330544.0,16462104003.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,18,297.110.517.686,298.541.103.387,,313.0,18.0,297110517686.0,298541103387.0
4.,4.,4.,Phải trả người lao động,314,,175.278.868.740,139.706.914.562,,314.0,,175278868740.0,139706914562.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,19,1.608.992.390.404,2.018.072.932.291,,315.0,19.0,1608992390404.0,2018072932291.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,1.255.138.330,617.551.080,,318.0,,1255138330.0,617551080.0
7.,7.,7.,Phải trả ngắn hạn khác,319,20,1.327.867.877.294,2.403.293.790.705,,319.0,20.0,1327867877294.0,2403293790705.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,21,9.157.536.870.815,6.554.398.505.035,,320.0,21.0,9157536870815.0,6554398505035.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,22,148.406.550.954,143.181.837.310,,321.0,22.0,148406550954.0,143181837310.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,124.694.849.258,95.936.238.808,,322.0,,124694849258.0,95936238808.0
II.,II.,II.,Nợ dài hạn,330,,9.122.692.357.898,13.725.365.988.730,,330.0,,9122692357898.0,13725365988730.0
1.,1.,1.,Phải trả dài hạn khác,337,20,971.515.195,759.840.195,,337.0,20.0,971515195.0,759840195.0
2.,2.,2.,Vay và nợ thuê tài chính dài hạn,338,21,8.394.084.458.923,13.303.846.087.570,,338.0,21.0,8394084458923.0,13303846087570.0
3.,3.,3.,Dự phòng phải trả dài hạn,342,22,595.987.979.917,251.593.468.605,,342.0,22.0,595987979917.0,251593468605.0
4.,4.,4.,Quỹ phát triển khoa học và công nghệ,343,23,131.648.403.863,169.166.592.360,,343.0,23.0,131648403863.0,169166592360.0
D.,D.,D.,VỐN CHỦ SỐ HỮU,400,,29.509.314.311.205,26.815.384.955.765,,400.0,,29509314311205.0,26815384955765.0
I.,I.,I.,Vốn chủ sở hữu,410,24,29.509.314.311.205,26.815.384.955.765,,410.0,24.0,29509314311205.0,26815384955765.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,23.418.716.000.000,23.418.716.000.000,,411.0,,23418716000000.0,23418716000000.0
,,,- Có phiếu phổ thông có quyền biểu quyết,411a,,23.418.716.000.000,23.418.716.000.000,,,,23418716000000.0,23418716000000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,(274.807.025),(311.254.328),,412.0,,-274807025.0,-311254328.0
3.,3.,3.,Vốn khác của chủ sở hữu,414,,227.887.397.807,227.887.397.807,,414.0,,227887397807.0,227887397807.0
4.,4.,4.,Chênh lệch đánh giá lại tài sản,416,,(191.305.728.000),(191.305.728.000),,416.0,,-191305728000.0,-191305728000.0
5.,5.,5.,Quỹ đầu tư phát triển,418,,780.958.252.480,192.215.107.853,,418.0,,780958252480.0,192215107853.0
6.,6.,6.,Lợi nhuận sau thuế chưa phân phối,421,,2.650.694.553.578,859.274.196.129,,421.0,,2650694553578.0,859274196129.0
,,,- Lợi nhuận sau thuế chưa phân phối đến cuối kỳ trước,421a,,808.666.342.566,542.515.585.296,,,,808666342566.0,542515585296.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay/kỳ này,421b,,1.842.028.211.012,316.758.610.833,,,,1842028211012.0,316758610833.0
7.,7.,7.,Lợi ích của cổ đông không kiểm soát TỔNG CỘNG NGUỒN VỐN (440=300+400),429,,2.622.638.642.365,2.308.909.236.304,,429.0,,2622638642365.0,2308909236304.0
,,,,440,,55.695.702.533.961,58.111.429.597.685,,440.0,,55695702533961.0,58111429597685.0
