row_label_raw,row_label_full,col_0,CHỈ TIÊU,MÃ số,Năm nay,Từ ngày 01/7/2018đến ngày 31/12/2018,numeric__CHỈ TIÊU,numeric__MÃ số,numeric__Năm nay,numeric__Từ ngày 01/7/2018đến ngày 31/12/2018
I.,I.,I.,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,3.165.037.776.642,655.106.054.431,,1.0,3165037776642.0,655106054431.0
2.,2.,2.,Đĩều chỉnh cho các khoản:,Đĩều chỉnh cho các khoản:,Đĩều chỉnh cho các khoản:,Đĩều chỉnh cho các khoản:,,,,
2.,2. > 2.,2.,Khẩu hao tài sản cổ định và bất động sản đầu tư,02,3.131.855.859.595,1.906.127.430.872,,2.0,3131855859595.0,1906127430872.0
2.,2. > 2.,2.,Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,03,769.246.075.328,(259.050.178.863),,3.0,769246075328.0,-259050178863.0
2.,2. > 2.,2.,Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,(30.361.834.569),122.697.627.971,,4.0,-30361834569.0,122697627971.0
2.,2. > 2.,2.,(Lãi) từ hoạt động đầu tư,05,(305.807.267.252),(133.047.575.498),,5.0,-305807267252.0,-133047575498.0
2.,2. > 2.,2.,Chỉ phí lãi vay,06,1.154.051.870.401,661.190.866.665,,6.0,1154051870401.0,661190866665.0
2.,2. > 2.,2.,Các khoản điều chỉnh khác,07,-,(35.729.056.847),,7.0,,-35729056847.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đối vốn lưu động,08,7.884.022.480.145,2.917.295.168.731,,8.0,7884022480145.0,2917295168731.0
3.,2. > 3.,3.,Thay đối các khoản phải thu,09,(1.534.763.734.128),1.786.558.328.746,,9.0,-1534763734128.0,1786558328746.0
3.,2. > 3.,3.,Thay đối hàng tồn kho,10,2.773.519.083.793,(408.246.861.610),,10.0,2773519083793.0,-408246861610.0
3.,2. > 3.,3.,"Thay đối các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,(2.374.624.744.532),(1.108.562.414.571),,11.0,-2374624744532.0,-1108562414571.0
3.,2. > 3.,3.,Thay đối chi phí trả trước,12,214.704.433.379,46.639.033.733,,12.0,214704433379.0,46639033733.0
3.,2. > 3.,3.,Tiền lãi vay đã trả,14,(1.203.196.728.897),(684.950.702.336),,14.0,-1203196728897.0,-684950702336.0
3.,2. > 3.,3.,Thuế thu nhập doanh nghiệp đã nộp,15,(325.563.541.380),(56.060.259.658),,15.0,-325563541380.0,-56060259658.0
3.,2. > 3.,3.,Tiền chi khác cho hoạt động kinh doanh,17,(111.518.794.158),(25.116.323.272),,17.0,-111518794158.0,-25116323272.0
3.,2. > 3.,3.,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,5.322.578.454.222,2.467.555.969.763,,20.0,5322578454222.0,2467555969763.0
II.,II.,II.,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
1.,II. > 1.,1.,"Tiền chi mua sắm, xây dựng tài sản cổ định và các tài sản dài hạn khác",21,(187.473.764.505),(154.905.148.181),,21.0,-187473764505.0,-154905148181.0
2.,II. > 2.,2.,"Tiền thu thanh lý, nhượng bán tài sản cổ định và các tài sản dài hạn khác",22,(3.710.535.635),-,,22.0,-3710535635.0,
3.,II. > 3.,3.,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,(895.850.346.482),(173.334.184.152),,23.0,-895850346482.0,-173334184152.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,286.094.491.044,124.987.209.584,,24.0,286094491044.0,124987209584.0
5.,II. > 5.,5.,Tiền thu hồi đầu tư vốn vào đơn vị khác,26,80.847.627.911,-,,26.0,80847627911.0,
6.,II. > 6.,6.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,297.985.233.991,531.339.078.058,,27.0,297985233991.0,531339078058.0
6.,II. > 6.,6.,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(422.107.293.676),328.086.955.309,,30.0,-422107293676.0,328086955309.0
