row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năngtrà nợ,Trong năm > Tăng,Trong năm > Giảm,Trong năm > Giảm do thanh lýCông ty con,Số cuối năm > Giá trị,Số cuối năm > Số có khả năngtrà nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năngtrà nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Trong năm > Giảm do thanh lýCông ty con,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năngtrà nợ
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,705.981.515.900,705.981.515.900,13.738.445.204.710,10.490.773.892.182,-,3.953.652.828.428,3.953.652.828.428,705981515900.0,705981515900.0,13738445204710.0,10490773892182.0,,3953652828428.0,3953652828428.0
Vay dài hạnđến hạn trả,Vay dài hạnđến hạn trả,Vay dài hạnđến hạn trả,5.848.416.989.135,5.848.416.989.135,5.221.254.752.689,5.860.861.764.637,4.925.934.800,5.203.884.042.387,5.203.884.042.387,5848416989135.0,5848416989135.0,5221254752689.0,5860861764637.0,4925934800.0,5203884042387.0,5203884042387.0
,,,6.554.398.505.035,6.554.398.505.035,18.959.699.957.399,16.351.635.656.819,4.925.934.800,9.157.536.870.815,9.157.536.870.815,6554398505035.0,6554398505035.0,18959699957399.0,16351635656819.0,4925934800.0,9157536870815.0,9157536870815.0
