row_label_raw,row_label_full,col_0,Mol qun han,numeric__Mol qun han
Ben Iien quan,Ben Iien quan,Ben Iien quan,Cang ty me,
Trip doan Dau khi Viet Nam,Trip doan Dau khi Viet Nam,Trip doan Dau khi Viet Nam,Cac dan vi trong Tarp doan Dau khi Viet Nam,
