row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Từ ngày 01/7/2018đến ngày 31/12/2018,numeric__Mã số,numeric__Năm nay,numeric__Từ ngày 01/7/2018đến ngày 31/12/2018
III. LUU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","III. LUU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,2.085.950.000,-,31.0,2085950000.0,
2. Tiền thu từ đi vay,III. LUU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền thu từ đi vay,2. Tiền thu từ đi vay,33,12.946.811.016.850,3.856.450.702.934,33.0,12946811016850.0,3856450702934.0
3. Tiền trả nợ gốc vay,III. LUU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Tiền trả nợ gốc vay,3. Tiền trả nợ gốc vay,34,(15.200.725.040.838),(9.248.603.856.655),34.0,-15200725040838.0,-9248603856655.0
"4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LUU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(750.693.717.584),-,36.0,-750693717584.0,
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LUU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(3.002.521.791.572),(5.392.153.153.721),40.0,-3002521791572.0,-5392153153721.0
Lưu chuyển tiền thuần trong năm/kỳ (50=20+30+40),III. LUU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm/kỳ (50=20+30+40),Lưu chuyển tiền thuần trong năm/kỳ (50=20+30+40),50,1.897.949.368.974,(2.596.510.228.649),50.0,1897949368974.0,-2596510228649.0
Tiền và tương đương tiền đầu năm/kỳ,III. LUU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu năm/kỳ,Tiền và tương đương tiền đầu năm/kỳ,60,3.185.329.931.901,5.781.844.937.864,60.0,3185329931901.0,5781844937864.0
Ảnh hưởng của thay đối tỷ giá hồi đoái quy đổi ngoại tệ,III. LUU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đối tỷ giá hồi đoái quy đổi ngoại tệ,Ảnh hưởng của thay đối tỷ giá hồi đoái quy đổi ngoại tệ,61,(1.969.981),(4.777.314),61.0,-1969981.0,-4777314.0
Tiền và tương đương tiền cuối năm/kỳ (70=50+60+61),III. LUU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối năm/kỳ (70=50+60+61),Tiền và tương đương tiền cuối năm/kỳ (70=50+60+61),70,5.083.277.330.894,3.185.329.931.901,70.0,5083277330894.0,3185329931901.0
