row_label_raw,row_label_full,Có đông,Theo Giấy chứng nhận đăng ký doanh nghiệp,Theo Giấy chứng nhận đăng ký doanh nghiệp_1,Vốn đã góp tại ngày cuối năm,Vốn đã góp tại ngày cuối năm_1,Vốn đã góp tại ngày đầu năm,Vốn đã góp tại ngày đầu năm_1,numeric__Theo Giấy chứng nhận đăng ký doanh nghiệp,numeric__Theo Giấy chứng nhận đăng ký doanh nghiệp_1,numeric__Vốn đã góp tại ngày cuối năm,numeric__Vốn đã góp tại ngày cuối năm_1,numeric__Vốn đã góp tại ngày đầu năm,numeric__Vốn đã góp tại ngày đầu năm_1
Có đông,Có đông,Có đông,VND,%,VND,%,VND,%,,,,,,
Tập đoàn Dầu khí Việt Nam,Có đông > Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,18.721.414.770.000,"79,94%",18.721.414.770.000,"79,94%",18.721.414.770.000,"79,94%",18721414770000.0,0.7994,18721414770000.0,0.7994,18721414770000.0,0.7994
Các cổ đông khác,Có đông > Các cổ đông khác,Các cổ đông khác,4.697.301.230.000,"20,06%",4.697.301.230.000,"20,06%",4.697.301.230.000,"20,06%",4697301230000.0,0.2006,4697301230000.0,0.2006,4697301230000.0,0.2006
,,,23.418.716.000.000,100%,23.418.716.000.000,100%,23.418.716.000.000,100%,23418716000000.0,1.0,23418716000000.0,1.0,23418716000000.0,1.0
