row_label_raw,row_label_full,Lợi nhuận trong năm/kỳ phần bổ cho các cổ đôngsở hữu cổ phiếu phổ thông (VND),Năm nay > 2.509.695.587.374,Từ ngày 01/7/2018đến ngày 31/12/2018(Trình bày lại) > 431.441.727.122,numeric__Năm nay > 2.509.695.587.374,numeric__Từ ngày 01/7/2018đến ngày 31/12/2018(Trình bày lại) > 431.441.727.122
Trừ: Số tiễn trích Quỹ khen thưởng phúc lợi (*),Trừ: Số tiễn trích Quỹ khen thưởng phúc lợi (*),Trừ: Số tiễn trích Quỹ khen thưởng phúc lợi (*),(103.368.337.102),(23.438.512.023),-103368337102.0,-23438512023.0
Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),2.406.327.250.272,408.003.215.099,2406327250272.0,408003215099.0
Số bình quân gia quyền của cổ phiếu phổ thông đếtính lãi cơ bản trên cổ phiếu (cổ phiếu),Số bình quân gia quyền của cổ phiếu phổ thông đếtính lãi cơ bản trên cổ phiếu (cổ phiếu),Số bình quân gia quyền của cổ phiếu phổ thông đếtính lãi cơ bản trên cổ phiếu (cổ phiếu),2.341.871.600,2.341.871.600,2341871600.0,2341871600.0
Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),1.028,174,1028.0,174.0
