row_label_raw,row_label_full,col_0,Năm nay,Từ ngày 01/7/2018đến ngày 31/12/2018,numeric__Năm nay,numeric__Từ ngày 01/7/2018đến ngày 31/12/2018
,,,VND,VND,,
Chỉ phí lãi vay,Chỉ phí lãi vay,Chỉ phí lãi vay,1.154.051.870.401,661.190.866.665,1154051870401.0,661190866665.0
Phí bảo hiểm khoản vay,Phí bảo hiểm khoản vay,Phí bảo hiểm khoản vay,110.840.319.998,44.143.260.446,110840319998.0,44143260446.0
Lỗ chênh lệch tỷ giá trong thanh toán,Lỗ chênh lệch tỷ giá trong thanh toán,Lỗ chênh lệch tỷ giá trong thanh toán,21.972.195.425,46.990.293.706,21972195425.0,46990293706.0
Phí bảo lãnh khoản vay,Phí bảo lãnh khoản vay,Phí bảo lãnh khoản vay,13.025.915.265,26.902.292.501,13025915265.0,26902292501.0
Lỗ chênh lệch tỷ giá do đánh giá lại các khoản mục có gốc ngoại tệ,Lỗ chênh lệch tỷ giá do đánh giá lại các khoản mục có gốc ngoại tệ,Lỗ chênh lệch tỷ giá do đánh giá lại các khoản mục có gốc ngoại tệ,8.771.718.266,139.235.745.484,8771718266.0,139235745484.0
Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,3.117.869.446,21.024.399.291,3117869446.0,21024399291.0
Chênh lệch tỷ giá chuyển sang công ty cổ phần,Chênh lệch tỷ giá chuyển sang công ty cổ phần,Chênh lệch tỷ giá chuyển sang công ty cổ phần,-,85.859.153.505,,85859153505.0
Chỉ phí hoạt động tài chính khác,Chỉ phí hoạt động tài chính khác,Chỉ phí hoạt động tài chính khác,11.826.355.834,6.476.765.870,11826355834.0,6476765870.0
,,,1.323.606.244.635,1.031.822.777.468,1323606244635.0,1031822777468.0
