row_label_raw,row_label_full,col_0,NAM may,TJ ngay 01/7/2018den nagy 31/12/2018,numeric__NAM may,numeric__TJ ngay 01/7/2018den nagy 31/12/2018
Ben hang,Ben hang,Ben hang,,,,
Cang ty Cc phan bdn dau ktl Ca mau,Ben hang > Cang ty Cc phan bdn dau ktl Ca mau,Cang ty Cc phan bdn dau ktl Ca mau,231.735.297.107,107.977.891.469,231735297107.0,107977891469.0
Tong cang ty ktl vlief Nam - Cang ty Cc phan,Ben hang > Tong cang ty ktl vlief Nam - Cang ty Cc phan,Tong cang ty ktl vlief Nam - Cang ty Cc phan,-,328.522.389,,328522389.0
Chang ty Cc phan dich yu bdo vfg An ninh Dau ktl,Ben hang > Chang ty Cc phan dich yu bdo vfg An ninh Dau ktl,Chang ty Cc phan dich yu bdo vfg An ninh Dau ktl,231.735.297.107,107.580.232.718,231735297107.0,107580232718.0
Vitet Nam,Ben hang > Vitet Nam,Vitet Nam,-,69.136.362,,69136362.0
Tng doan dBu ktl vlief Nam,Ben hang > Tng doan dBu ktl vlief Nam,Tng doan dBu ktl vlief Nam,6.800.085.720.621,3.487.510.646.634,6800085720621.0,3487510646634.0
Tong cang ty ktl vlief Nam - Cang ty Cc phan,Ben hang > Tong cang ty ktl vlief Nam - Cang ty Cc phan,Tong cang ty ktl vlief Nam - Cang ty Cc phan,5.537.729.629.023,4.690.411.088.690,5537729629023.0,4690411088690.0
Chang ty Cc phan xiang dBu dBu ktl vung Ang,Ben hang > Chang ty Cc phan xiang dBu dBu ktl vung Ang,Chang ty Cc phan xiang dBu dBu ktl vung Ang,127.174.474.466,23.349.417.626,127174474466.0,23349417626.0
Chang ty Cc phan dich yu bdo vfg - Sua chiwa Cong tinnh Dau,Ben hang > Chang ty Cc phan dich yu bdo vfg - Sua chiwa Cong tinnh Dau,Chang ty Cc phan dich yu bdo vfg - Sua chiwa Cong tinnh Dau,23.795.133.835,964.183.900,23795133835.0,964183900.0
Ting chang ty Bdo duwng - Sua chiwa Cong tinnh Dau,Ben hang > Ting chang ty Bdo duwng - Sua chiwa Cong tinnh Dau,Ting chang ty Bdo duwng - Sua chiwa Cong tinnh Dau,17.367.165.883,10.481.560.451,17367165883.0,10481560451.0
Vitet Nam,Ben hang > Vitet Nam,Vitet Nam,-,1.546.205.745,,1546205745.0
Ban Quan ly dv an Dihen lvc dBu ktl vung Ang -,Ben hang > Ban Quan ly dv an Dihen lvc dBu ktl vung Ang -,Ban Quan ly dv an Dihen lvc dBu ktl vung Ang -,-,1.546.205.745,,1546205745.0
Quang Trach,Quang Trach,Quang Trach,,,,
Chi phi Isti vy,Quang Trach > Chi phi Isti vy,Chi phi Isti vy,154.881.090.420,83.021.642.146,154881090420.0,83021642146.0
Ngan hung Thuuding mal Cc phan dai chung Viet Nam,Quang Trach > Ngan hung Thuuding mal Cc phan dai chung Viet Nam,Ngan hung Thuuding mal Cc phan dai chung Viet Nam,154.881.090.420,83.021.642.146,154881090420.0,83021642146.0
Lsil tien guti,Quang Trach > Lsil tien guti,Lsil tien guti,26.795.974.785,2.008.428.771,26795974785.0,2008428771.0
Ngan hang Thuuding mal Cc phan Dai chung Viet Nam,Quang Trach > Ngan hang Thuuding mal Cc phan Dai chung Viet Nam,Ngan hang Thuuding mal Cc phan Dai chung Viet Nam,26.795.974.785,2.008.428.771,26795974785.0,2008428771.0
This nhip cua ban Ting Glim dcc,Quang Trach > This nhip cua ban Ting Glim dcc,This nhip cua ban Ting Glim dcc,19.200.065.882,8.029.704.037,19200065882.0,8029704037.0
