row_label_raw,row_label_full,col_0,col_1,2022VND,2021VND,numeric__col_1,numeric__2022VND,numeric__2021VND
,,,,2022VND,2021VND,,,
,,,Công ty Đường ống Khí Nam Côn Sơn,76.326.529.951,70.338.402.093,,76326529951.0,70338402093.0
7,7,7,PHẢI THU KHÁC,,,,,
(a),(a),(a),Ngắn hạn,,,,,
,,,,2022VND,2021VND,,,
,,,Dự thu tạm tính doanh thu bán vàvận chuyển khí,6.870.166.632.296,6.088.852.797.492,,6870166632296.0,6088852797492.0
,,,Dự thu lãi tiền gửi,459.054.605.827,329.761.958.689,,459054605827.0,329761958689.0
,,,Khác,163.182.968.141,181.418.667.106,,163182968141.0,181418667106.0
,,,,7.492.404.206.264,6.600.033.423.287,,7492404206264.0,6600033423287.0
,,,Trong đó,,,,,
,,,Bên liên quan (Thuyết minh 35(b)),2.036.924.612.118,2.327.728.781.670,,2036924612118.0,2327728781670.0
,,,Bên thứ ba,5.455.479.594.146,4.272.304.641.617,,5455479594146.0,4272304641617.0
,,,,7.492.404.206.264,6.600.033.423.287,,7492404206264.0,6600033423287.0
