row_label_raw,row_label_full,Tên công ty,Nơi thành lập,Lĩnh vực kinh doanh,2022,2022_1,2021,2021_1,numeric__Nơi thành lập,numeric__Lĩnh vực kinh doanh,numeric__2022,numeric__2022_1,numeric__2021,numeric__2021_1
Tên công ty,Tên công ty,Tên công ty,Nơi thành lập,Lĩnh vực kinh doanh,Tỉ lệ sở hữu %,Ti lệ biểu quyết %,Tỉ lệ sở hữu %,Ti lệ biểu quyết %,,,,,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,,
Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty con > Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Tỉnh Tiền Giang,Sản xuất ống thép,"99,99","99,99","99,99","99,99",,,99.99,99.99,99.99,99.99
Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Công ty con > Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Tp. Hồ Chí Minh,Phân phối khí thấp áp,"50,50","50,50","50,50","50,50",,,50.5,50.5,50.5,50.5
Công ty Cổ phần CNG Việt Nam,Công ty con > Công ty Cổ phần CNG Việt Nam,Công ty Cổ phần CNG Việt Nam,Tỉnh Bà Rịa - Vũng Tàu,Sản xuất khí thiên nhiên,"56,00","56,00","56,00","56,00",,,56.0,56.0,56.0,56.0
Công ty Cổ phần Kinh doanh LPG Việt Nam,Công ty con > Công ty Cổ phần Kinh doanh LPG Việt Nam,Công ty Cổ phần Kinh doanh LPG Việt Nam,Tp. Hà Nội,Phân phối khí hóa lỏng,"51,31","51,31","51,31","51,31",,,51.31,51.31,51.31,51.31
Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Công ty con > Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Tỉnh Bà Rịa - Vũng Tàu,Kinh doanh dịch vụ bọc ống,"52,94","52,94","52,94","52,94",,,52.94,52.94,52.94,52.94
Công ty Cổ phần LNG Việt Nam,Công ty con > Công ty Cổ phần LNG Việt Nam,Công ty Cổ phần LNG Việt Nam,Tp. Hồ Chí Minh,Sản xuất khí thiên nhiên,"51,00","51,00","51,00","51,00",,,51.0,51.0,51.0,51.0
Công ty TNHH Kho Căng LNG Sơn Mỹ (*),Công ty con > Công ty TNHH Kho Căng LNG Sơn Mỹ (*),Công ty TNHH Kho Căng LNG Sơn Mỹ (*),Tỉnh Bình Thuận,Xử lý khí thiên nhiên,"61,00","61,00",-,-,,,61.0,61.0,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,
Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty liên kết > Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty Cổ phần Kinh doanh Khí Miền Nam,Tp. Hồ Chí Minh,Phân phối khí hóa lỏng,"35,26","35,26","35,26","35,26",,,35.26,35.26,35.26,35.26
Công ty TNHH Khí nhiên liệu Giao thông Vận tải PVGazprom,Công ty liên kết > Công ty TNHH Khí nhiên liệu Giao thông Vận tải PVGazprom,Công ty TNHH Khí nhiên liệu Giao thông Vận tải PVGazprom,Tp. Hồ Chí Minh,Kinh doanh khí,"29,00","29,00","29,00","29,00",,,29.0,29.0,29.0,29.0
