row_label_raw,row_label_full,col_0,Kinh doanh khí và các sản phẩm khí VND,Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí VND,Loại trừ nội bộ và điều chỉnh VND,Tổng cộng VND,numeric__Kinh doanh khí và các sản phẩm khí VND,numeric__Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí VND,numeric__Loại trừ nội bộ và điều chỉnh VND,numeric__Tổng cộng VND
Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,92.738.970.128.814,73.440.145.888,(13.820.254.152.430),78.992.156.122.272,92738970128814.0,73440145888.0,-13820254152430.0,78992156122272.0
Chi phí kinh doanh,Chi phí kinh doanh,Chi phí kinh doanh,(82.269.802.343.774),(277.087.477.855),13.928.733.234.657,(68.618.156.586.972),-82269802343774.0,-277087477855.0,13928733234657.0,-68618156586972.0
Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,(78.548.908.313.276),(236.999.419.805),13.779.406.589.150,(65.006.501.143.931),-78548908313276.0,-236999419805.0,13779406589150.0,-65006501143931.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,(2.227.812.612.799),-,95.229.566.997,(2.132.583.045.802),-2227812612799.0,,95229566997.0,-2132583045802.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(1.493.081.417.699),(40.088.058.050),54.097.078.510,(1.479.072.397.239),-1493081417699.0,-40088058050.0,54097078510.0,-1479072397239.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,10.469.167.785.040,(203.647.331.967),108.479.082.227,10.373.999.535.300,10469167785040.0,-203647331967.0,108479082227.0,10373999535300.0
Phần lãi trong các công ty liên kết,Phần lãi trong các công ty liên kết,Phần lãi trong các công ty liên kết,,,,15.053.154.984,,,,15053154984.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,1.186.807.167.063,,,,1186807167063.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,(402.749.045.863),,,,-402749045863.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,,,,31.887.432.287,,,,31887432287.0
Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,,,,11.204.998.243.771,,,,11204998243771.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,,,,(2.304.278.491.555),,,,-2304278491555.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,(48.907.622.506),,,,-48907622506.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,8.851.812.129.710,,,,8851812129710.0
