row_label_raw,row_label_full,33,BÁO CÁO BỘ PHẦN (tiếp theo),BÁO CÁO BỘ PHẦN (tiếp theo)_1,numeric__BÁO CÁO BỘ PHẦN (tiếp theo),numeric__BÁO CÁO BỘ PHẦN (tiếp theo)_1
(b),(b),(b),Báo cáo bộ phận theo lĩnh vực kinh doanh (tiếp theo),Báo cáo bộ phận theo lĩnh vực kinh doanh (tiếp theo),,
,,,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2021,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2021,,
,,,,Kinh doanh khí và các sản phẩm khí VND,,
,,,Tài sản,,,
,,,Tiền và các khoản tương đương tiền,5.237.970.362.852,,5237970362852.0
,,,Đầu tư tài chính ngắn hạn,24.609.825.654.952,,24609825654952.0
,,,Các khoản phải thu ngắn hạn,20.202.900.373.477,,20202900373477.0
,,,Hàng tồn kho,3.023.071.111.939,,3023071111939.0
,,,Tài sản ngắn hạn khác,1.100.776.505.248,,1100776505248.0
,,,Các khoản phải thu dài hạn,189.244.299.438,,189244299438.0
,,,TSCĐ,17.364.653.712.480,,17364653712480.0
,,,Bất động sản đầu tư,21.934.563.658,,21934563658.0
,,,Tài sản dở dang dài hạn,4.870.337.634.745,,4870337634745.0
,,,Đầu tư tài chính dài hạn,3.086.465.227.009,,3086465227009.0
,,,Tài sản dài hạn khác,3.691.695.634.984,,3691695634984.0
,,,Lợi thế thương mại,-,,
,,,Tổng tài sản hợp nhất,83.398.875.080.782,,83398875080782.0
,,,Nợ phải trả,,,
,,,Nợ ngắn hạn,19.753.725.162.085,,19753725162085.0
,,,Nợ dài hạn,9.795.392.854.337,,9795392854337.0
,,,Tổng nợ phải trả hợp nhất,29.549.118.016.422,,29549118016422.0
