row_label_raw,row_label_full,Mã số,TÀI SẢN (tiếp theo),Thuyết minh,Tại ngày 31 tháng 12 năm > 2022 VND,Tại ngày 31 tháng 12 năm > 2021 VND,numeric__TÀI SẢN (tiếp theo),numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2022 VND,numeric__Tại ngày 31 tháng 12 năm > 2021 VND
200,200,200,TÀI SẢN DÀI HẠN,,27.010.944.408.343,27.373.350.671.266,,,27010944408343.0,27373350671266.0
210,210,210,Các khoản phải thu dài hạn,,168.689.074.161,187.718.539.786,,,168689074161.0,187718539786.0
212,212,212,Trả trước cho người bán dài hạn,6(b),76.326.529.951,70.338.402.093,,,76326529951.0,70338402093.0
216,216,216,Phải thu dài hạn khác,7(b),92.362.544.210,117.380.137.693,,,92362544210.0,117380137693.0
220,220,220,Tài sản cố định,,16.369.664.841.026,18.098.268.868.761,,,16369664841026.0,18098268868761.0
221,221,221,Tài sản cố định hữu hình,11(a),15.975.936.459.471,17.688.043.268.312,,,15975936459471.0,17688043268312.0
222,222,222,Nguyên giá,,57.307.438.058.633,56.069.459.929.388,,,57307438058633.0,56069459929388.0
223,223,223,Giá trị khấu hao lũy kế,,(41.331.501.599.162),(38.381.416.661.076),,,-41331501599162.0,-38381416661076.0
227,227,227,Tài sản cố định vô hình,11(b),393.728.381.555,410.225.600.449,,,393728381555.0,410225600449.0
228,228,228,Nguyên giá,,620.148.444.002,588.231.701.729,,,620148444002.0,588231701729.0
229,229,229,Giá trị khấu hao lũy kế,,(226.420.062.447),(178.006.101.280),,,-226420062447.0,-178006101280.0
230,230,230,Bất động sản đầu tư,,36.267.205.787,21.934.563.658,,,36267205787.0,21934563658.0
231,231,231,Nguyên giá,,42.051.001.624,26.427.782.233,,,42051001624.0,26427782233.0
232,232,232,Giá trị khấu hao lũy kế,,(5.783.795.837),(4.493.218.575),,,-5783795837.0,-4493218575.0
240,240,240,Tài sản dở dang dài hạn,,5.978.103.870.212,4.871.054.316.564,,,5978103870212.0,4871054316564.0
242,242,242,Chi phí xây dựng cơ bản dở dang,12,5.978.103.870.212,4.871.054.316.564,,12.0,5978103870212.0,4871054316564.0
250,250,250,Đầu tư tài chính dài hạn,,405.533.457.500,400.162.192.660,,,405533457500.0,400162192660.0
252,252,252,Đầu tư vào công ty liên kết,4(b),395.533.457.500,390.162.192.660,,,395533457500.0,390162192660.0
253,253,253,Đầu tư góp vốn vào đơn vị khác,4(c),35.000.000.000,35.000.000.000,,,35000000000.0,35000000000.0
254,254,254,Dự phòng đầu tư tài chính dài hạn,4(c),(25.000.000.000),(25.000.000.000),,,-25000000000.0,-25000000000.0
260,260,260,Tài sản dài hạn khác,,4.052.685.959.657,3.794.212.189.837,,,4052685959657.0,3794212189837.0
261,261,261,Chi phí trả trước dài hạn,10(b),3.997.897.390.212,3.744.292.533.015,,,3997897390212.0,3744292533015.0
262,262,262,Tài sản thuế thu nhập doanh nghiệp hoãn lại,,54.788.569.445,49.281.300.688,,,54788569445.0,49281300688.0
269,269,269,Lợi thế thương mại,,-,638.356.134,,,,638356134.0
270,270,270,TỔNG TÀI SẢN,,82.662.652.366.363,78.768.074.688.564,,,82662652366363.0,78768074688564.0
