row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,348.669.597.008,236.827.817.974,2.734.286.747,588.231.701.729,348669597008.0,236827817974.0,2734286747.0,588231701729.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,13.403.709.000,-,13.403.709.000,,13403709000.0,,13403709000.0
Chuyển từ chi phí xây dựng cơ bản đồ dang(Thuyết minh 12),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản đồ dang(Thuyết minh 12),Chuyển từ chi phí xây dựng cơ bản đồ dang(Thuyết minh 12),-,19.616.192.364,-,19.616.192.364,,19616192364.0,,19616192364.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(1.103.159.091),-,(1.103.159.091),,-1103159091.0,,-1103159091.0
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,348.669.597.008,268.744.560.247,2.734.286.747,620.148.444.002,348669597008.0,268744560247.0,2734286747.0,620148444002.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Tại ngày 1 tháng 1 năm 2022,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,8.120.816.346,168.985.925.443,899.359.491,178.006.101.280,8120816346.0,168985925443.0,899359491.0,178006101280.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.388.881.548,47.518.146.890,610.091.820,49.517.120.258,1388881548.0,47518146890.0,610091820.0,49517120258.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,-,(1.103.159.091),-,(1.103.159.091),,-1103159091.0,,-1103159091.0
Tại ngày 31 tháng 12 năm 2022,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,9.509.697.894,215.400.913.242,1.509.451.311,226.420.062.447,9509697894.0,215400913242.0,1509451311.0,226420062447.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,340.548.780.662,67.841.892.531,1.834.927.256,410.225.600.449,340548780662.0,67841892531.0,1834927256.0,410225600449.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,339.159.899.114,53.343.647.005,1.224.835.436,393.728.381.555,339159899114.0,53343647005.0,1224835436.0,393728381555.0
