row_label_raw,row_label_full,Công ty mẹ,Công ty mẹ_1,Công ty mẹ_2,numeric__Công ty mẹ_1,numeric__Công ty mẹ_2
Tập đoàn Đầu khí Việt Nam,Tập đoàn Đầu khí Việt Nam,Tập đoàn Đầu khí Việt Nam,25.414.400.469,832.348.541.820,25414400469.0,832348541820.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty liên kết > Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty Cổ phần Kinh doanh Khí Miền Nam,98.963.697.801,6.761.372.118,98963697801.0,6761372118.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,
Tổng Công ty Điện lực Dầu khí Việt Nam,Các bên liên quan khác > Tổng Công ty Điện lực Dầu khí Việt Nam,Tổng Công ty Điện lực Dầu khí Việt Nam,1.838.505.218.442,1.364.868.608.904,1838505218442.0,1364868608904.0
Công ty Cổ phần Phát triển Đô thị Dầu khí,Các bên liên quan khác > Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,50.000.000.000,50.000.000.000,50000000000.0,50000000000.0
Tổng Công ty Thăm dò và Khai thác Dầu khí,Các bên liên quan khác > Tổng Công ty Thăm dò và Khai thác Dầu khí,Tổng Công ty Thăm dò và Khai thác Dầu khí,22.587.425.272,53.097.029.622,22587425272.0,53097029622.0
Tổng Công ty Cổ phần Vận tải Dầu khí,Các bên liên quan khác > Tổng Công ty Cổ phần Vận tải Dầu khí,Tổng Công ty Cổ phần Vận tải Dầu khí,1.453.870.134,1.453.870.134,1453870134.0,1453870134.0
Tổng Công ty Dầu Việt Nam,Các bên liên quan khác > Tổng Công ty Dầu Việt Nam,Tổng Công ty Dầu Việt Nam,-,19.199.359.072,,19199359072.0
,,,2.036.924.612.118,2.327.728.781.670,2036924612118.0,2327728781670.0
