row_label_raw,row_label_full,col_0,2022 > Giá trị gốc VND,2022 > Giá trị có thể thu hồi VND,2022 > Dự phòng VND,2021 > Giá trị gốc VND,2021 > Giá trị có thể thu hồi VND,2021 > Dự phòng VND,numeric__2022 > Giá trị gốc VND,numeric__2022 > Giá trị có thể thu hồi VND,numeric__2022 > Dự phòng VND,numeric__2021 > Giá trị gốc VND,numeric__2021 > Giá trị có thể thu hồi VND,numeric__2021 > Dự phòng VND
Tổng Công ty Tư vấn,Tổng Công ty Tư vấn,Tổng Công ty Tư vấn,Tổng Công ty Tư vấn,Tổng Công ty Tư vấn,Tổng Công ty Tư vấn,Tổng Công ty Tư vấn,Tổng Công ty Tư vấn,Tổng Công ty Tư vấn,,,,,,
Thiết kê Dầu khí – CTCP,Tổng Công ty Tư vấn > Thiết kê Dầu khí – CTCP,Thiết kê Dầu khí – CTCP,94.325.786.404,13.945.180.256,80.380.606.148,121.258.112.949,40.877.506.801,80.380.606.148,94325786404.0,13945180256.0,80380606148.0,121258112949.0,40877506801.0,80380606148.0
Trên 3 năm,Tổng Công ty Tư vấn > Trên 3 năm,Trên 3 năm,70.015.179.702,-,70.015.179.702,91.082.300.358,10.701.694.210,80.380.606.148,70015179702.0,,70015179702.0,91082300358.0,10701694210.0,80380606148.0
Từ 2 năm đến 3 năm,Tổng Công ty Tư vấn > Từ 2 năm đến 3 năm,Từ 2 năm đến 3 năm,11.267.962.106,902.535.660,10.365.426.446,15.018.623.577,15.018.623.577,-,11267962106.0,902535660.0,10365426446.0,15018623577.0,15018623577.0,
Từ 1 năm đến 2 năm,Tổng Công ty Tư vấn > Từ 1 năm đến 2 năm,Từ 1 năm đến 2 năm,9.873.118.016,9.873.118.016,-,11.267.962.106,11.267.962.106,-,9873118016.0,9873118016.0,,11267962106.0,11267962106.0,
Từ 6 tháng đến 1 năm,Tổng Công ty Tư vấn > Từ 6 tháng đến 1 năm,Từ 6 tháng đến 1 năm,3.169.526.580,3.169.526.580,-,3.889.226.908,3.889.226.908,-,3169526580.0,3169526580.0,,3889226908.0,3889226908.0,
Chi nhánh Tổng Công ty Điện lực,Chi nhánh Tổng Công ty Điện lực,Chi nhánh Tổng Công ty Điện lực,Chi nhánh Tổng Công ty Điện lực,Chi nhánh Tổng Công ty Điện lực,Chi nhánh Tổng Công ty Điện lực,Chi nhánh Tổng Công ty Điện lực,Chi nhánh Tổng Công ty Điện lực,Chi nhánh Tổng Công ty Điện lực,,,,,,
Dầu khí Việt Nam - CTCP - Công ty Điện lực Dầu khí Nhơn Trạch,Chi nhánh Tổng Công ty Điện lực > Dầu khí Việt Nam - CTCP - Công ty Điện lực Dầu khí Nhơn Trạch,Dầu khí Việt Nam - CTCP - Công ty Điện lực Dầu khí Nhơn Trạch,531.852.562.473,309.290.582.721,222.561.979.752,791.970.489.560,528.528.566.337,263.441.923.223,531852562473.0,309290582721.0,222561979752.0,791970489560.0,528528566337.0,263441923223.0
Trên 3 năm,Chi nhánh Tổng Công ty Điện lực > Trên 3 năm,Trên 3 năm,53.415.208.166,-,53.415.208.166,-,-,-,53415208166.0,,53415208166.0,,,
Từ 2 năm đến 3 năm,Chi nhánh Tổng Công ty Điện lực > Từ 2 năm đến 3 năm,Từ 2 năm đến 3 năm,22.423.465.443,6.727.039.633,15.696.425.810,53.415.208.166,16.024.562.450,37.390.645.716,22423465443.0,6727039633.0,15696425810.0,53415208166.0,16024562450.0,37390645716.0
Từ 1 năm đến 2 năm,Chi nhánh Tổng Công ty Điện lực > Từ 1 năm đến 2 năm,Từ 1 năm đến 2 năm,83.230.895.584,41.615.447.792,41.615.447.792,22.423.465.443,11.211.732.721,11.211.732.722,83230895584.0,41615447792.0,41615447792.0,22423465443.0,11211732721.0,11211732722.0
Từ 6 tháng đến 1 năm,Chi nhánh Tổng Công ty Điện lực > Từ 6 tháng đến 1 năm,Từ 6 tháng đến 1 năm,372.782.993.280,260.948.095.296,111.834.897.984,716.131.815.951,501.292.271.166,214.839.544.785,372782993280.0,260948095296.0,111834897984.0,716131815951.0,501292271166.0,214839544785.0
Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Chi nhánh Tổng Công ty Điện lực > Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,306.976.907.218,104.175.763.259,202.801.143.959,215.771.693.118,100.713.276.391,115.058.416.729,306976907218.0,104175763259.0,202801143959.0,215771693118.0,100713276391.0,115058416729.0
Trên 3 năm,Chi nhánh Tổng Công ty Điện lực > Trên 3 năm,Trên 3 năm,82.495.888.495,-,82.495.888.495,-,-,-,82495888495.0,,82495888495.0,,,
Từ 2 năm đến 3 năm,Chi nhánh Tổng Công ty Điện lực > Từ 2 năm đến 3 năm,Từ 2 năm đến 3 năm,86.642.766.975,25.992.830.092,60.649.936.883,82.495.888.495,24.748.766.549,57.747.121.947,86642766975.0,25992830092.0,60649936883.0,82495888495.0,24748766549.0,57747121947.0
Từ 1 năm đến 2 năm,Chi nhánh Tổng Công ty Điện lực > Từ 1 năm đến 2 năm,Từ 1 năm đến 2 năm,91.519.215.286,45.759.607.643,45.759.607.643,86.642.766.975,43.321.383.488,43.321.383.488,91519215286.0,45759607643.0,45759607643.0,86642766975.0,43321383488.0,43321383488.0
Từ 6 tháng đến 1 năm,Chi nhánh Tổng Công ty Điện lực > Từ 6 tháng đến 1 năm,Từ 6 tháng đến 1 năm,46.319.036.462,32.423.325.524,13.895.710.938,46.633.037.648,32.643.126.354,13.989.911.294,46319036462.0,32423325524.0,13895710938.0,46633037648.0,32643126354.0,13989911294.0
Khác,Chi nhánh Tổng Công ty Điện lực > Khác,Khác,177.970.763.523,1.532.308.880,176.438.454.643,180.958.101.024,3.070.746.997,177.887.354.027,177970763523.0,1532308880.0,176438454643.0,180958101024.0,3070746997.0,177887354027.0
Trên 3 năm,Chi nhánh Tổng Công ty Điện lực > Trên 3 năm,Trên 3 năm,177.970.763.523,1.532.308.880,176.438.454.643,180.399.815.109,3.070.746.997,177.329.068.112,177970763523.0,1532308880.0,176438454643.0,180399815109.0,3070746997.0,177329068112.0
Từ 2 năm đến 3 năm,Chi nhánh Tổng Công ty Điện lực > Từ 2 năm đến 3 năm,Từ 2 năm đến 3 năm,-,-,-,558.285.915,-,558.285.915,,,,558285915.0,,558285915.0
,,,1.111.126.019.618,428.943.835.116,682.182.184.502,1.309.958.396.651,673.190.096.526,636.768.300.127,1111126019618.0,428943835116.0,682182184502.0,1309958396651.0,673190096526.0,636768300127.0
