row_label_raw,row_label_full,Tại ngày 1 tháng 1 năm 2021,Vốn góp của chủ sở hữu VND > 19.139.500.000.000,Thặng dư vốn cổ phần VND > 210.679.541.297,Vốn khác của chủ sở hữu VND > 196.658.562.648,Quỹ đầu tư phát triển VND > 18.853.826.843.892,Quỹ khác thuộc vốn chủ sở hữu VND > 6.287.318.113,LNST chưa phân phối lũy kế của các năm trước VND > 2.319.480.175.551,LNST chưa phân phối năm nay VND > 7.709.193.096.320,Lợi ích cổ đông không kiểm soát VND > 1.064.055.447.633,Tổng cộng VND > 49.499.680.985.454,numeric__Vốn góp của chủ sở hữu VND > 19.139.500.000.000,numeric__Thặng dư vốn cổ phần VND > 210.679.541.297,numeric__Vốn khác của chủ sở hữu VND > 196.658.562.648,numeric__Quỹ đầu tư phát triển VND > 18.853.826.843.892,numeric__Quỹ khác thuộc vốn chủ sở hữu VND > 6.287.318.113,numeric__LNST chưa phân phối lũy kế của các năm trước VND > 2.319.480.175.551,numeric__LNST chưa phân phối năm nay VND > 7.709.193.096.320,numeric__Lợi ích cổ đông không kiểm soát VND > 1.064.055.447.633,numeric__Tổng cộng VND > 49.499.680.985.454
Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,-,-,-,-,-,7.709.193.096.320,(7.709.193.096.320),-,-,,,,,,7709193096320.0,-7709193096320.0,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,8.672.965.062.460,178.847.067.250,8.851.812.129.710,,,,,,,8672965062460.0,178847067250.0,8851812129710.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,2.200.012.836.348,-,(2.200.012.836.348),-,-,-,,,,2200012836348.0,,-2200012836348.0,,,
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)",-,-,-,-,-,(161.071.580.589),(152.466.661.012),(21.382.445.637),(334.920.687.238),,,,,,-161071580589.0,-152466661012.0,-21382445637.0,-334920687238.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,(5.741.850.000.000),-,(123.022.815.742),(5.864.872.815.742),,,,,,-5741850000000.0,,-123022815742.0,-5864872815742.0
Khác,Khác,Khác,-,-,-,-,-,34.227.830.465,6.827.183.169,(23.950.688),41.031.062.946,,,,,,34227830465.0,6827183169.0,-23950688.0,41031062946.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,19.139.500.000.000,210.679.541.297,196.658.562.648,21.053.839.680.240,6.287.318.113,1.959.966.685.399,8.527.325.584.617,1.098.473.302.816,52.192.730.675.130,19139500000000.0,210679541297.0,196658562648.0,21053839680240.0,6287318113.0,1959966685399.0,8527325584617.0,1098473302816.0,52192730675130.0
Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,-,-,-,-,-,8.527.325.584.617,(8.527.325.584.617),-,-,,,,,,8527325584617.0,-8527325584617.0,,
Vốn tăng trong năm,Vốn tăng trong năm,Vốn tăng trong năm,-,-,-,-,-,-,-,118.345.978.175,118.345.978.175,,,,,,,,118345978175.0,118345978175.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,14.798.317.219.715,268.075.069.713,15.066.392.289.428,,,,,,,14798317219715.0,268075069713.0,15066392289428.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,9.217.047.015,-,(9.217.047.015),-,-,-,,,,9217047015.0,,-9217047015.0,,,
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (*)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (*)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (*)",-,-,-,-,-,(164.052.303.612),(158.705.668.260),(19.157.957.104),(341.915.928.976),,,,,,-164052303612.0,-158705668260.0,-19157957104.0,-341915928976.0
Chia cổ tức (*),Chia cổ tức (*),Chia cổ tức (*),-,-,-,-,-,(5.741.850.000.000),-,(140.463.058.641),(5.882.313.058.641),,,,,,-5741850000000.0,,-140463058641.0,-5882313058641.0
Khác,Khác,Khác,-,-,-,-,-,29.708.039.772,-,(9.384.439.747),20.323.600.025,,,,,,29708039772.0,,-9384439747.0,20323600025.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,19.139.500.000.000,210.679.541.297,196.658.562.648,21.063.056.727.255,6.287.318.113,4.601.880.959.161,14.639.611.551.455,1.315.888.895.212,61.173.563.555.141,19139500000000.0,210679541297.0,196658562648.0,21063056727255.0,6287318113.0,4601880959161.0,14639611551455.0,1315888895212.0,61173563555141.0
