row_label_raw,row_label_full,18,VAY,VAY_1,VAY_2,VAY_3,VAY_4,VAY_5,VAY_6,numeric__VAY,numeric__VAY_1,numeric__VAY_2,numeric__VAY_3,numeric__VAY_4,numeric__VAY_5,numeric__VAY_6
18,18,18,,Tại ngày 1.1.2022 VND,Tăng VND,Giảm VND,Vay dài hạn đến hạn trả VND,Đánh giá lại VND,Tại ngày 31.12.2022 VND,,,,,,,
(a),(a),(a),Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,,,
(a),(a) > (a),(a),Vay ngân hàng dài hạn đến hạn trả,484.740.000.000,-,(509.718.000.000),54.896.858.992,15.078.000.000,44.996.858.992,,484740000000.0,,-509718000000.0,54896858992.0,15078000000.0,44996858992.0
(a),(a) > (a),(a),Vay ngân hàng,-,22.338.964.190,(22.338.964.190),-,-,-,,,22338964190.0,-22338964190.0,,,
(a),(a) > (a),(a),,484.740.000.000,22.338.964.190,(532.056.964.190),54.896.858.992,15.078.000.000,44.996.858.992,,484740000000.0,22338964190.0,-532056964190.0,54896858992.0,15078000000.0,44996858992.0
(b),(b),(b),Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,,,,,,
(b),(b) > (b),(b),Vay ngân hàng,7.510.120.451.721,1.303.042.575.276,(2.838.618.727.490),(54.896.858.992),118.315.449.693,6.037.962.890.208,,7510120451721.0,1303042575276.0,-2838618727490.0,-54896858992.0,118315449693.0,6037962890208.0
