row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Loại giao dịch,2022 VND,2021 VND,numeric__Mối quan hệ,numeric__Loại giao dịch,numeric__2022 VND,numeric__2021 VND
Miraka Holdings Limited,Miraka Holdings Limited,Miraka Holdings Limited,Công ty liên kết,Mua hàng hóa,231.425.301.017,155.017.742.176,,,231425301017.0,155017742176.0
Công ty Cổ phần APIS,Công ty Cổ phần APIS,Công ty Cổ phần APIS,Công ty liên kết,Mua hàng hóa và dịch vụ,471.997.298.179,233.374.210.894,,,471997298179.0,233374210894.0
Công ty Cổ phần APIS,Công ty Cổ phần APIS,Công ty Cổ phần APIS,Công ty liên kết,Cổ tức được chia,-,2.600.000.000,,,,2600000000.0
Công ty Cổ phần Chế Biến Dừa Á Châu,Công ty Cổ phần Chế Biến Dừa Á Châu,Công ty Cổ phần Chế Biến Dừa Á Châu,Công ty liên kết,Mua hàng hóa và dịch vụ,37.370.417.796,22.901.079.806,,,37370417796.0,22901079806.0
Công ty Cổ phần Chế Biến Dừa Á Châu,Công ty Cổ phần Chế Biến Dừa Á Châu,Công ty Cổ phần Chế Biến Dừa Á Châu,Công ty liên kết,Mua cổ phiếu,30.900.000.000,-,,,30900000000.0,
Công ty Cổ phần Chế Biến Dừa Á Châu,Công ty Cổ phần Chế Biến Dừa Á Châu,Công ty Cổ phần Chế Biến Dừa Á Châu,Công ty liên kết,Cổ tức được chia,12.360.000.000,-,,,12360000000.0,
"Del Monte – Vinamilk Dairy Inc., Philippines","Del Monte – Vinamilk Dairy Inc., Philippines","Del Monte – Vinamilk Dairy Inc., Philippines",Công ty liên doanh,Góp vốn,12.275.000.000,22.810.312.500,,,12275000000.0,22810312500.0
Công ty Cổ phần Nguyên vật liệu Thực phẩm Á Châu Sài Gòn,Công ty Cổ phần Nguyên vật liệu Thực phẩm Á Châu Sài Gòn,Công ty Cổ phần Nguyên vật liệu Thực phẩm Á Châu Sài Gòn,Đầu tư khác,Cổ tức được chia,11.700.000.000,-,,,11700000000.0,
Công ty Cổ phần Nguyên vật liệu Thực phẩm Á Châu Sài Gòn,Công ty Cổ phần Nguyên vật liệu Thực phẩm Á Châu Sài Gòn,Công ty Cổ phần Nguyên vật liệu Thực phẩm Á Châu Sài Gòn,Đầu tư khác,Mua hàng hóa,1.894.100.000,-,,,1894100000.0,
Tổng Công ty Đầu tư và Kinh doanh Vốn Nhà nước,Tổng Công ty Đầu tư và Kinh doanh Vốn Nhà nước,Tổng Công ty Đầu tư và Kinh doanh Vốn Nhà nước,Cổ đông,Cổ tức,2.897.034.917.700,2.708.915.767.200,,,2897034917700.0,2708915767200.0
