row_label_raw,row_label_full,Tiền thu từ bán cổ phiếu quỹ,31,col_2,-,34.870.690.416,numeric__31,numeric__col_2,numeric__-,numeric__34.870.690.416
Tiền thu từ đi vay,Tiền thu từ đi vay,Tiền thu từ đi vay,33,,5.502.500.000.000,8.838.700.000.000,33.0,,5502500000000.0,8838700000000.0
Tiền chỉ trả nợ gốc vay,Tiền chỉ trả nợ gốc vay,Tiền chỉ trả nợ gốc vay,34,,(10.003.700.000.000),(6.960.536.000.000),34.0,,-10003700000000.0,-6960536000000.0
Tiền chỉ trả cổ tức,Tiền chỉ trả cổ tức,Tiền chỉ trả cổ tức,36,,(8.046.328.463.250),(7.523.560.503.000),36.0,,-8046328463250.0,-7523560503000.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,(12.547.528.463.250),(5.610.525.812.584),40.0,,-12547528463250.0,-5610525812584.0
Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),50,,(520.393.354.707),1.022.888.873.744,50.0,,-520393354707.0,1022888873744.0
Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,60,,1.485.328.101.088,464.705.252.766,60.0,,1485328101088.0,464705252766.0
Ảnh hưởng của thay đổi tỷ giá hối đoái đối với tiền và các khoản tương đương tiền,Ảnh hưởng của thay đổi tỷ giá hối đoái đối với tiền và các khoản tương đương tiền,Ảnh hưởng của thay đổi tỷ giá hối đoái đối với tiền và các khoản tương đương tiền,61,,(1.711.666.166),(2.266.025.422),61.0,,-1711666166.0,-2266025422.0
Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60 + 61) \),Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60 + 61) \),Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60 + 61) \),70,V.1,963.223.080.215,1.485.328.101.088,70.0,,963223080215.0,1485328101088.0
